"PCE Bridge Table, 2003",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","195,595","3,403","8,793","43,816","251,607",2003
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","64,741","3,390","1,305","36,354","105,790",2003
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,35,4,3,29,71,2003
7,Motor vehicles parts and accessories ,331,Primary metals,13,0,1,11,25,2003
7,Motor vehicles parts and accessories ,332,Fabricated metal products,42,1,6,35,83,2003
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,1,2003
7,Motor vehicles parts and accessories ,334,Computer and electronic products,4,0,1,4,9,2003
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,335",13,146,"1,128","2,622",2003
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","11,024",143,939,"9,312","21,417",2003
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,195,25,39,164,423,2003
7,Motor vehicles parts and accessories ,325,Chemical products,295,6,24,114,439,2003
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"9,131",173,"1,111","7,644","18,059",2003
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods","-1,351",20,548,"1,755",973,2003
9,Furniture and furnishings ,321,Wood products,"1,198",64,128,"1,119","2,510",2003
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,188",268,545,860,"3,861",2003
9,Furniture and furnishings ,331,Primary metals,123,3,11,219,355,2003
9,Furniture and furnishings ,332,Fabricated metal products,325,7,64,577,973,2003
9,Furniture and furnishings ,334,Computer and electronic products,871,12,137,814,"1,833",2003
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,029",259,436,"1,916","4,640",2003
9,Furniture and furnishings ,337,Furniture and related products,"39,265","5,004","2,438","35,233","81,940",2003
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"3,942",494,790,"3,346","8,572",2003
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"9,476",351,"3,092","9,202","22,121",2003
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,79,3,24,74,180,2003
9,Furniture and furnishings ,323,Printing and related support activities,27,1,2,25,55,2003
9,Furniture and furnishings ,326,Plastics and rubber products,315,6,61,232,613,2003
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"1,758",0,0,0,"1,758",2003
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods",397,"3,311",676,"2,344","6,728",2003
10,Household appliances ,331,Primary metals,27,1,2,15,45,2003
10,Household appliances ,333,Machinery,"2,765",59,795,"1,652","5,272",2003
10,Household appliances ,335,"Electrical equipment, appliances, and components","18,200",894,"2,709","11,183","32,986",2003
10,Household appliances ,326,Plastics and rubber products,42,1,12,87,142,2003
10,Household appliances ,Used,"Scrap, used and secondhand goods",-82,462,20,95,495,2003
11,"Glassware, tableware and household utensils ",321,Wood products,887,46,93,292,"1,318",2003
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"6,060",722,"1,859","3,142","11,782",2003
11,"Glassware, tableware and household utensils ",331,Primary metals,"1,169",25,104,385,"1,682",2003
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"5,616",120,"1,385","1,866","8,987",2003
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,929,10,183,306,"1,427",2003
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"10,032",178,962,"3,303","14,475",2003
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",447,529,209,466,"1,649",2003
12,Tools and equipment for house and garden ,321,Wood products,12,1,1,21,35,2003
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,385,77,37,149,648,2003
12,Tools and equipment for house and garden ,331,Primary metals,13,0,1,24,38,2003
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,312",28,380,"2,329","4,050",2003
12,Tools and equipment for house and garden ,333,Machinery,"1,738",37,349,"3,091","5,215",2003
12,Tools and equipment for house and garden ,334,Computer and electronic products,35,1,2,63,101,2003
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",105,1,23,187,315,2003
12,Tools and equipment for house and garden ,337,Furniture and related products,112,15,37,329,493,2003
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,233,30,75,431,769,2003
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,17,1,3,50,70,2003
12,Tools and equipment for house and garden ,325,Chemical products,948,19,95,410,"1,472",2003
12,Tools and equipment for house and garden ,326,Plastics and rubber products,73,1,10,215,300,2003
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"4,990",0,0,0,"4,990",2003
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",85,76,32,69,262,2003
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"2,798",59,"1,238","1,194","5,289",2003
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"56,303",592,"8,564","20,216","85,674",2003
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components","2,041",20,439,715,"3,216",2003
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,0,0,0,0,0,2003
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,9,0,2,7,19,2003
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","11,008",103,"1,649","3,969","16,729",2003
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"22,313",220,"4,429","3,616","30,578",2003
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2003
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",12,161,30,66,269,2003
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,23,0,2,15,40,2003
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"2,598",56,855,"1,667","5,176",2003
15,"Sporting equipment, supplies, guns, and ammunition ",3364OT,Other transportation equipment,"4,357",43,135,"1,188","5,724",2003
15,"Sporting equipment, supplies, guns, and ammunition ",339,Miscellaneous manufacturing,"13,613","1,718","4,590","9,214","29,135",2003
15,"Sporting equipment, supplies, guns, and ammunition ",313TT,Textile mills and textile product mills,"1,253",51,365,820,"2,489",2003
15,"Sporting equipment, supplies, guns, and ammunition ",315AL,Apparel and leather and allied products,181,7,55,119,362,2003
15,"Sporting equipment, supplies, guns, and ammunition ",325,Chemical products,"1,021",22,117,668,"1,829",2003
15,"Sporting equipment, supplies, guns, and ammunition ",Used,"Scrap, used and secondhand goods",0,211,36,69,315,2003
16,Sports and recreational vehicles ,332,Fabricated metal products,9,0,3,5,17,2003
16,Sports and recreational vehicles ,333,Machinery,193,4,26,102,325,2003
16,Sports and recreational vehicles ,335,"Electrical equipment, appliances, and components",4,0,0,2,6,2003
16,Sports and recreational vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","9,938",112,282,"2,712","13,043",2003
16,Sports and recreational vehicles ,3364OT,Other transportation equipment,"15,727",158,"1,239","6,798","23,923",2003
16,Sports and recreational vehicles ,326,Plastics and rubber products,420,8,51,339,818,2003
16,Sports and recreational vehicles ,Used,"Scrap, used and secondhand goods",-41,"2,081",271,603,"2,914",2003
17,Recreational books ,323,Printing and related support activities,193,7,16,69,284,2003
17,Recreational books ,511,"Publishing industries, except internet (includes software)","17,726",637,"1,603","6,264","26,230",2003
17,Recreational books ,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2003
18,Musical instruments,339,Miscellaneous manufacturing,"2,159",277,430,"1,810","4,675",2003
18,Musical instruments,315AL,Apparel and leather and allied products,92,3,18,77,191,2003
18,Musical instruments,Used,"Scrap, used and secondhand goods",-36,146,13,74,197,2003
20,Jewelry and watches ,334,Computer and electronic products,"3,146",32,619,"2,425","6,222",2003
20,Jewelry and watches ,339,Miscellaneous manufacturing,"22,616",234,"4,441","17,505","44,797",2003
20,Jewelry and watches ,Used,"Scrap, used and secondhand goods",-399,569,175,565,910,2003
21,Therapeutic appliances and equipment,334,Computer and electronic products,"1,605",16,396,"1,507","3,524",2003
21,Therapeutic appliances and equipment,335,"Electrical equipment, appliances, and components",497,6,106,469,"1,078",2003
21,Therapeutic appliances and equipment,339,Miscellaneous manufacturing,"11,317",112,"2,746","11,102","25,278",2003
21,Therapeutic appliances and equipment,621,Ambulatory health care services,"6,600",0,0,0,"6,600",2003
21,Therapeutic appliances and equipment,Used,"Scrap, used and secondhand goods",2,2,1,3,7,2003
22,Educational books,511,"Publishing industries, except internet (includes software)","6,459",231,601,"2,293","9,583",2003
22,Educational books,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2003
22,Educational books,Used,"Scrap, used and secondhand goods",0,185,18,68,271,2003
23,Luggage and similar personal items ,321,Wood products,251,9,76,235,572,2003
23,Luggage and similar personal items ,339,Miscellaneous manufacturing,"1,496",193,487,482,"2,658",2003
23,Luggage and similar personal items ,315AL,Apparel and leather and allied products,"6,537",234,"1,394","4,449","12,614",2003
24,Telephone and facsimile equipment ,334,Computer and electronic products,"2,470",24,419,"4,626","7,540",2003
27,Food and nonalcoholic beverages purchased for off-premises consumption ,111CA,Farms,"31,684","2,450","9,139","14,647","57,919",2003
27,Food and nonalcoholic beverages purchased for off-premises consumption ,113FF,"Forestry, fishing, and related activities","2,628",187,216,"1,026","4,057",2003
27,Food and nonalcoholic beverages purchased for off-premises consumption ,212,"Mining, except oil and gas",41,11,2,19,73,2003
27,Food and nonalcoholic beverages purchased for off-premises consumption ,311FT,Food and beverage and tobacco products,"277,652","5,488","40,237","129,140","452,516",2003
27,Food and nonalcoholic beverages purchased for off-premises consumption ,325,Chemical products,387,10,32,180,609,2003
27,Food and nonalcoholic beverages purchased for off-premises consumption ,Used,"Scrap, used and secondhand goods","-1,596",0,0,0,"-1,596",2003
28,Alcoholic beverages purchased for off-premises consumption,311FT,Food and beverage and tobacco products,"42,895",997,"23,194","18,642","85,728",2003
29,Food produced and consumed on farms ,111CA,Farms,275,0,0,0,275,2003
32,Womens and girls clothing ,339,Miscellaneous manufacturing,51,6,17,59,133,2003
32,Womens and girls clothing ,313TT,Textile mills and textile product mills,208,8,60,240,515,2003
32,Womens and girls clothing ,315AL,Apparel and leather and allied products,"55,645","2,014","12,261","64,366","134,286",2003
32,Womens and girls clothing ,Used,"Scrap, used and secondhand goods",-231,"1,237",137,722,"1,865",2003
33,Mens and boys clothing ,339,Miscellaneous manufacturing,99,12,33,74,219,2003
33,Mens and boys clothing ,313TT,Textile mills and textile product mills,508,18,151,382,"1,059",2003
33,Mens and boys clothing ,315AL,Apparel and leather and allied products,"39,930","1,430","9,905","30,054","81,319",2003
33,Mens and boys clothing ,Used,"Scrap, used and secondhand goods",-127,186,45,136,241,2003
34,Childrens and infants clothing ,313TT,Textile mills and textile product mills,194,7,59,238,498,2003
34,Childrens and infants clothing ,315AL,Apparel and leather and allied products,"3,046",109,661,"3,481","7,296",2003
34,Childrens and infants clothing ,322,Paper products,"2,012",74,164,"2,465","4,715",2003
34,Childrens and infants clothing ,Used,"Scrap, used and secondhand goods",-17,245,55,289,572,2003
35,Other clothing materials and footwear ,339,Miscellaneous manufacturing,243,10,8,73,334,2003
35,Other clothing materials and footwear ,313TT,Textile mills and textile product mills,"1,977",72,258,"1,783","4,089",2003
35,Other clothing materials and footwear ,315AL,Apparel and leather and allied products,"18,491",665,"6,917","21,935","48,008",2003
35,Other clothing materials and footwear ,511,"Publishing industries, except internet (includes software)",44,2,4,40,89,2003
35,Other clothing materials and footwear ,Used,"Scrap, used and secondhand goods",-31,28,15,46,57,2003
37,"Motor vehicle fuels, lubricants, and fluids ",324,Petroleum and coal products,"85,886","2,961","46,306","43,821","178,974",2003
37,"Motor vehicle fuels, lubricants, and fluids ",325,Chemical products,2,0,0,1,3,2003
38,Fuel oil and other fuels ,212,"Mining, except oil and gas",47,16,3,21,87,2003
38,Fuel oil and other fuels ,321,Wood products,122,7,24,58,211,2003
38,Fuel oil and other fuels ,324,Petroleum and coal products,"8,069",379,"2,495","5,209","16,152",2003
38,Fuel oil and other fuels ,325,Chemical products,623,18,51,294,985,2003
40,Pharmaceutical and other medical products ,339,Miscellaneous manufacturing,824,8,203,991,"2,026",2003
40,Pharmaceutical and other medical products ,324,Petroleum and coal products,51,2,5,62,120,2003
40,Pharmaceutical and other medical products ,325,Chemical products,"111,460","1,947","26,590","77,656","217,653",2003
40,Pharmaceutical and other medical products ,326,Plastics and rubber products,88,2,27,259,375,2003
41,Recreational items ,111CA,Farms,"13,979",907,"2,754","5,290","22,931",2003
41,Recreational items ,212,"Mining, except oil and gas",14,4,1,10,29,2003
41,Recreational items ,335,"Electrical equipment, appliances, and components",127,1,27,95,250,2003
41,Recreational items ,339,Miscellaneous manufacturing,"15,030","1,933","4,949","18,322","40,234",2003
41,Recreational items ,311FT,Food and beverage and tobacco products,"12,758",249,"2,463","9,268","24,738",2003
41,Recreational items ,313TT,Textile mills and textile product mills,20,1,6,14,41,2003
41,Recreational items ,315AL,Apparel and leather and allied products,201,7,59,146,413,2003
41,Recreational items ,322,Paper products,"1,329",66,108,615,"2,118",2003
41,Recreational items ,323,Printing and related support activities,199,7,16,244,466,2003
41,Recreational items ,325,Chemical products,"1,723",35,828,"1,273","3,859",2003
41,Recreational items ,326,Plastics and rubber products,332,6,36,284,657,2003
41,Recreational items ,81,"Other services, except government",144,0,0,0,144,2003
41,Recreational items ,Used,"Scrap, used and secondhand goods","1,201","1,477",578,"1,660","4,916",2003
42,Household supplies ,212,"Mining, except oil and gas",495,130,28,191,843,2003
42,Household supplies ,321,Wood products,740,41,72,343,"1,197",2003
42,Household supplies ,331,Primary metals,21,1,2,61,84,2003
42,Household supplies ,332,Fabricated metal products,596,13,84,273,965,2003
42,Household supplies ,335,"Electrical equipment, appliances, and components","1,547",16,333,"2,751","4,646",2003
