"PCE Bridge Table, 2019",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","206,168","3,346","7,834","68,438","285,786",2019
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","90,571","1,567","3,470","55,297","150,906",2019
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,102,18,14,67,202,2019
7,Motor vehicles parts and accessories ,331,Primary metals,21,1,2,14,39,2019
7,Motor vehicles parts and accessories ,332,Fabricated metal products,731,24,319,483,"1,556",2019
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2019
7,Motor vehicles parts and accessories ,334,Computer and electronic products,26,0,14,17,58,2019
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,751",20,251,"1,156","3,177",2019
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","20,869",269,"2,929","13,779","37,847",2019
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,321,47,93,212,673,2019
7,Motor vehicles parts and accessories ,325,Chemical products,236,5,25,136,402,2019
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"17,496",411,"4,065","11,323","33,295",2019
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods","-1,068",9,"1,101",563,605,2019
9,Furniture and furnishings ,321,Wood products,"3,606",270,612,"5,465","9,954",2019
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,479",409,949,"1,450","5,287",2019
9,Furniture and furnishings ,331,Primary metals,175,6,21,315,517,2019
9,Furniture and furnishings ,332,Fabricated metal products,568,18,201,"1,022","1,810",2019
9,Furniture and furnishings ,334,Computer and electronic products,919,23,300,"1,433","2,676",2019
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,283",338,695,"3,601","6,918",2019
9,Furniture and furnishings ,337,Furniture and related products,"56,558","8,404","14,247","50,030","129,240",2019
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"6,000",631,"2,734","6,515","15,880",2019
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"9,082",539,"5,361","18,582","33,564",2019
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,42,2,23,65,132,2019
9,Furniture and furnishings ,323,Printing and related support activities,268,14,31,418,731,2019
9,Furniture and furnishings ,326,Plastics and rubber products,277,6,91,517,890,2019
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"12,139",0,0,0,"12,139",2019
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods","1,694","2,287","1,110","2,860","7,951",2019
10,Household appliances ,331,Primary metals,3,0,0,2,6,2019
10,Household appliances ,333,Machinery,"2,554",83,"1,092","1,916","5,646",2019
10,Household appliances ,335,"Electrical equipment, appliances, and components","24,565","1,090","8,253","18,129","52,037",2019
10,Household appliances ,326,Plastics and rubber products,5,0,2,10,17,2019
10,Household appliances ,Used,"Scrap, used and secondhand goods",-144,31,9,17,-87,2019
11,"Glassware, tableware and household utensils ",321,Wood products,626,47,96,305,"1,075",2019
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"2,753",447,"1,569","1,557","6,326",2019
11,"Glassware, tableware and household utensils ",331,Primary metals,291,9,34,142,476,2019
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"4,303",138,"1,512","2,114","8,068",2019
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,115,1,76,56,249,2019
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"16,339",354,"2,180","7,972","26,844",2019
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",-657,101,49,40,-467,2019
12,Tools and equipment for house and garden ,321,Wood products,4,0,1,7,12,2019
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,547,166,61,316,"1,090",2019
12,Tools and equipment for house and garden ,331,Primary metals,14,0,2,25,41,2019
12,Tools and equipment for house and garden ,332,Fabricated metal products,"2,344",76,"1,073","4,190","7,683",2019
12,Tools and equipment for house and garden ,333,Machinery,"3,848",124,862,"6,922","11,756",2019
12,Tools and equipment for house and garden ,334,Computer and electronic products,280,9,46,504,840,2019
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",153,2,47,276,477,2019
12,Tools and equipment for house and garden ,337,Furniture and related products,264,43,157,688,"1,151",2019
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,344,51,201,628,"1,224",2019
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,19,1,10,51,81,2019
12,Tools and equipment for house and garden ,325,Chemical products,"1,927",59,332,"1,584","3,902",2019
12,Tools and equipment for house and garden ,326,Plastics and rubber products,188,4,39,492,723,2019
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"3,179",0,0,0,"3,179",2019
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",49,60,21,36,166,2019
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"1,053",34,"2,711","1,283","5,081",2019
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"71,955",820,"21,460","34,313","128,547",2019
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components","1,668",19,508,"1,240","3,435",2019
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,10,1,1,42,55,2019
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,27,1,8,22,59,2019
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","61,855",646,"15,857","13,448","91,807",2019
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"6,989",52,"1,445","7,782","16,269",2019
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services","9,334",0,0,0,"9,334",2019
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",-18,115,38,43,177,2019
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,31,1,4,31,67,2019
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"8,029",247,"3,010","7,383","18,669",2019
15,"Sporting equipment, supplies, guns, and ammunition ",3364OT,Other transportation equipment,"3,604",41,192,"2,010","5,847",2019
15,"Sporting equipment, supplies, guns, and ammunition ",339,Miscellaneous manufacturing,"17,102","2,332","6,691","17,681","43,806",2019
15,"Sporting equipment, supplies, guns, and ammunition ",313TT,Textile mills and textile product mills,"2,090",139,"1,077","2,038","5,344",2019
15,"Sporting equipment, supplies, guns, and ammunition ",315AL,Apparel and leather and allied products,148,8,81,145,382,2019
15,"Sporting equipment, supplies, guns, and ammunition ",325,Chemical products,"1,394",45,214,"1,359","3,012",2019
15,"Sporting equipment, supplies, guns, and ammunition ",Used,"Scrap, used and secondhand goods",-110,0,0,0,-110,2019
16,Sports and recreational vehicles ,332,Fabricated metal products,6,0,3,4,13,2019
16,Sports and recreational vehicles ,333,Machinery,47,2,9,29,87,2019
16,Sports and recreational vehicles ,335,"Electrical equipment, appliances, and components",13,0,2,6,21,2019
16,Sports and recreational vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","16,611",205,581,"6,151","23,547",2019
16,Sports and recreational vehicles ,3364OT,Other transportation equipment,"17,223",188,"2,368","10,151","29,930",2019
