"PCE Bridge Table, 2010",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","134,369","2,502","9,530","35,887","182,289",2010
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","68,253","1,240","2,388","33,708","105,588",2010
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,53,6,7,62,128,2010
7,Motor vehicles parts and accessories ,331,Primary metals,9,0,1,10,21,2010
7,Motor vehicles parts and accessories ,332,Fabricated metal products,261,8,91,304,664,2010
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2010
7,Motor vehicles parts and accessories ,334,Computer and electronic products,8,0,3,10,22,2010
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,193",23,366,"2,551","5,133",2010
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","9,827",123,"1,373","11,432","22,754",2010
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,263,36,66,306,670,2010
7,Motor vehicles parts and accessories ,325,Chemical products,229,4,18,110,361,2010
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"11,610",200,"2,034","11,809","25,653",2010
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-625,9,766,"1,033","1,182",2010
9,Furniture and furnishings ,321,Wood products,"2,051",119,308,"2,032","4,511",2010
9,Furniture and furnishings ,327,Nonmetallic mineral products,872,200,425,773,"2,269",2010
9,Furniture and furnishings ,331,Primary metals,83,2,7,119,211,2010
9,Furniture and furnishings ,332,Fabricated metal products,397,13,123,670,"1,203",2010
9,Furniture and furnishings ,334,Computer and electronic products,672,25,348,"1,233","2,279",2010
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","1,130",285,580,"2,072","4,068",2010
9,Furniture and furnishings ,337,Furniture and related products,"34,182","4,665","7,058","36,250","82,154",2010
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"4,806",602,"1,998","4,388","11,794",2010
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"7,231",380,"3,405","9,440","20,456",2010
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,56,4,51,102,213,2010
9,Furniture and furnishings ,323,Printing and related support activities,54,4,11,99,168,2010
9,Furniture and furnishings ,326,Plastics and rubber products,516,11,160,495,"1,181",2010
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"2,213",0,0,0,"2,213",2010
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods",882,"2,923","1,559","2,442","7,806",2010
10,Household appliances ,331,Primary metals,32,1,3,20,56,2010
10,Household appliances ,333,Machinery,"2,098",55,635,"1,333","4,121",2010
10,Household appliances ,335,"Electrical equipment, appliances, and components","21,103",915,"4,235","13,291","39,544",2010
