"PCE Bridge Table, 2015",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","202,302","3,285","11,113","60,237","276,937",2015
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","78,411","1,291","3,957","44,903","128,562",2015
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,62,10,8,38,118,2015
7,Motor vehicles parts and accessories ,331,Primary metals,19,1,2,12,33,2015
7,Motor vehicles parts and accessories ,332,Fabricated metal products,557,18,198,340,"1,114",2015
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2015
7,Motor vehicles parts and accessories ,334,Computer and electronic products,25,0,13,15,53,2015
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,921",27,395,"1,783","5,126",2015
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","17,967",190,"2,277","10,966","31,400",2015
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,245,32,63,149,490,2015
7,Motor vehicles parts and accessories ,325,Chemical products,234,5,22,143,403,2015
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"16,132",347,"3,808","9,742","30,029",2015
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-579,6,"1,172",481,"1,080",2015
9,Furniture and furnishings ,321,Wood products,"2,645",158,400,"3,630","6,832",2015
9,Furniture and furnishings ,327,Nonmetallic mineral products,"1,945",278,641,"1,121","3,985",2015
9,Furniture and furnishings ,331,Primary metals,118,4,13,212,347,2015
9,Furniture and furnishings ,332,Fabricated metal products,348,11,99,628,"1,087",2015
9,Furniture and furnishings ,334,Computer and electronic products,866,21,229,"1,216","2,333",2015
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,121",277,655,"3,001","6,054",2015
9,Furniture and furnishings ,337,Furniture and related products,"47,617","6,232","11,537","40,687","106,073",2015
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"4,527",531,"2,005","4,496","11,558",2015
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"8,768",392,"4,206","15,396","28,762",2015
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,85,3,47,119,254,2015
9,Furniture and furnishings ,323,Printing and related support activities,209,8,24,293,534,2015
9,Furniture and furnishings ,326,Plastics and rubber products,203,4,62,307,576,2015
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"4,886",0,0,0,"4,886",2015
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods",-121,"1,742",825,"1,532","3,978",2015
10,Household appliances ,331,Primary metals,7,0,1,4,12,2015
10,Household appliances ,333,Machinery,"2,355",73,848,"1,599","4,876",2015
10,Household appliances ,335,"Electrical equipment, appliances, and components","23,372",981,"7,353","16,046","47,752",2015
10,Household appliances ,326,Plastics and rubber products,29,1,13,59,102,2015
10,Household appliances ,Used,"Scrap, used and secondhand goods",-85,16,5,12,-51,2015
11,"Glassware, tableware and household utensils ",321,Wood products,624,37,85,301,"1,047",2015
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"3,823",550,"1,726","2,223","8,322",2015
11,"Glassware, tableware and household utensils ",331,Primary metals,322,10,35,156,522,2015
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"3,653",115,"1,237","1,780","6,784",2015
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,149,1,74,72,296,2015
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"12,520",252,"1,690","6,050","20,512",2015
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",-555,73,35,35,-412,2015
12,Tools and equipment for house and garden ,321,Wood products,3,0,0,5,9,2015
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,453,116,54,277,900,2015
12,Tools and equipment for house and garden ,331,Primary metals,12,0,1,21,34,2015
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,692",54,653,"3,027","5,426",2015
12,Tools and equipment for house and garden ,333,Machinery,"3,041",93,660,"5,482","9,275",2015
12,Tools and equipment for house and garden ,334,Computer and electronic products,209,6,35,376,626,2015
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",85,1,26,153,264,2015
