"PCE Bridge Table, 2017",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","204,030","3,233","9,667","63,808","280,738",2017
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","90,476","1,514","3,834","51,286","147,110",2017
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,51,8,7,34,100,2017
7,Motor vehicles parts and accessories ,331,Primary metals,28,1,3,18,50,2017
7,Motor vehicles parts and accessories ,332,Fabricated metal products,619,20,248,408,"1,294",2017
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2017
7,Motor vehicles parts and accessories ,334,Computer and electronic products,17,0,9,11,38,2017
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,688",27,373,"1,769","4,856",2017
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","18,664",218,"2,531","12,282","33,695",2017
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,306,42,88,201,637,2017
7,Motor vehicles parts and accessories ,325,Chemical products,206,4,19,130,360,2017
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"16,282",376,"4,092","10,588","31,339",2017
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-666,8,"1,225",563,"1,130",2017
9,Furniture and furnishings ,321,Wood products,"2,801",183,454,"4,215","7,654",2017
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,013",299,780,"1,330","4,423",2017
9,Furniture and furnishings ,331,Primary metals,207,6,22,363,598,2017
9,Furniture and furnishings ,332,Fabricated metal products,430,13,140,755,"1,338",2017
9,Furniture and furnishings ,334,Computer and electronic products,989,25,296,"1,530","2,839",2017
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,043",281,642,"3,185","6,152",2017
9,Furniture and furnishings ,337,Furniture and related products,"52,240","7,198","13,212","45,596","118,246",2017
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"4,386",504,"2,041","4,754","11,685",2017
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"8,764",453,"4,910","17,174","31,301",2017
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,76,3,44,117,240,2017
9,Furniture and furnishings ,323,Printing and related support activities,228,10,27,353,618,2017
9,Furniture and furnishings ,326,Plastics and rubber products,181,4,55,317,557,2017
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"7,107",0,0,0,"7,107",2017
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods",-29,"2,240","1,102","2,521","5,834",2017
10,Household appliances ,331,Primary metals,4,0,0,3,7,2017
10,Household appliances ,333,Machinery,"2,159",68,891,"1,584","4,701",2017
10,Household appliances ,335,"Electrical equipment, appliances, and components","23,923",959,"7,873","17,390","50,144",2017
10,Household appliances ,326,Plastics and rubber products,10,0,5,20,35,2017
10,Household appliances ,Used,"Scrap, used and secondhand goods",-97,25,7,16,-49,2017
11,"Glassware, tableware and household utensils ",321,Wood products,615,40,89,308,"1,052",2017
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"3,884",584,"2,018","2,300","8,786",2017
11,"Glassware, tableware and household utensils ",331,Primary metals,455,14,49,228,746,2017
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"4,188",130,"1,513","2,113","7,944",2017
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,127,1,79,64,271,2017
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"12,727",268,"1,697","6,383","21,076",2017
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",-469,90,44,40,-294,2017
12,Tools and equipment for house and garden ,321,Wood products,3,0,0,5,9,2017
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,586,160,64,370,"1,181",2017
12,Tools and equipment for house and garden ,331,Primary metals,9,0,1,17,27,2017
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,756",55,747,"3,059","5,617",2017
12,Tools and equipment for house and garden ,333,Machinery,"3,714",115,857,"6,522","11,208",2017
12,Tools and equipment for house and garden ,334,Computer and electronic products,226,7,36,396,665,2017
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",106,1,33,186,326,2017
12,Tools and equipment for house and garden ,337,Furniture and related products,250,37,140,645,"1,072",2017
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,311,43,171,554,"1,079",2017
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,13,1,7,35,55,2017
12,Tools and equipment for house and garden ,325,Chemical products,"2,314",66,364,"1,894","4,638",2017
12,Tools and equipment for house and garden ,326,Plastics and rubber products,106,2,22,274,404,2017
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"3,270",0,0,0,"3,270",2017
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",53,61,22,38,174,2017
