"PCE Bridge Table, 2014",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","195,664","3,679","12,527","52,543","264,413",2014
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","61,487","1,260","3,308","44,703","110,758",2014
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,54,7,7,62,130,2014
7,Motor vehicles parts and accessories ,331,Primary metals,14,0,1,16,32,2014
7,Motor vehicles parts and accessories ,332,Fabricated metal products,432,14,151,498,"1,094",2014
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2014
7,Motor vehicles parts and accessories ,334,Computer and electronic products,16,0,8,18,42,2014
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,396",25,329,"2,764","5,514",2014
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","12,491",153,"1,616","14,412","28,673",2014
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,180,28,54,208,470,2014
7,Motor vehicles parts and accessories ,325,Chemical products,189,4,16,115,325,2014
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"12,384",261,"2,785","14,114","29,544",2014
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-635,6,949,679,998,2014
9,Furniture and furnishings ,321,Wood products,"2,436",166,363,"3,123","6,088",2014
9,Furniture and furnishings ,327,Nonmetallic mineral products,"1,640",234,529,958,"3,361",2014
9,Furniture and furnishings ,331,Primary metals,120,4,12,171,307,2014
9,Furniture and furnishings ,332,Fabricated metal products,361,11,99,512,984,2014
9,Furniture and furnishings ,334,Computer and electronic products,950,24,251,"1,226","2,450",2014
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,096",325,615,"2,734","5,769",2014
9,Furniture and furnishings ,337,Furniture and related products,"40,426","6,280","9,513","44,983","101,202",2014
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"3,908",599,"1,828","4,100","10,435",2014
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"9,760",502,"4,830","12,388","27,480",2014
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,134,6,79,173,392,2014
9,Furniture and furnishings ,323,Printing and related support activities,206,9,23,266,505,2014
9,Furniture and furnishings ,326,Plastics and rubber products,222,4,69,203,498,2014
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"1,761",0,0,0,"1,761",2014
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods","-1,491","1,685",733,"1,399","2,326",2014
10,Household appliances ,331,Primary metals,9,0,1,7,18,2014
10,Household appliances ,333,Machinery,"2,320",70,791,"1,672","4,853",2014
10,Household appliances ,335,"Electrical equipment, appliances, and components","22,347","1,157","6,807","15,974","46,285",2014
10,Household appliances ,326,Plastics and rubber products,38,1,18,76,133,2014
10,Household appliances ,Used,"Scrap, used and secondhand goods",-84,21,6,13,-45,2014
11,"Glassware, tableware and household utensils ",321,Wood products,571,38,76,290,975,2014
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"3,426",489,"1,586","2,310","7,811",2014
11,"Glassware, tableware and household utensils ",331,Primary metals,317,9,31,161,519,2014
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"3,369",103,"1,173","1,726","6,371",2014
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,138,2,79,70,289,2014
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"11,768",230,"1,581","5,985","19,564",2014
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",-425,78,34,35,-278,2014
12,Tools and equipment for house and garden ,321,Wood products,2,0,0,4,7,2014
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,504,132,54,307,998,2014
