"PCE Bridge Table, 2008",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","142,783","3,210","9,427","29,799","185,218",2008
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","68,291","2,905","1,955","29,552","102,703",2008
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,29,3,4,28,65,2008
7,Motor vehicles parts and accessories ,331,Primary metals,11,0,1,11,23,2008
7,Motor vehicles parts and accessories ,332,Fabricated metal products,96,2,25,94,217,2008
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2008
7,Motor vehicles parts and accessories ,334,Computer and electronic products,11,0,4,11,25,2008
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,130",27,275,"2,080","4,513",2008
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","11,640",176,"1,405","11,365","24,586",2008
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,298,45,61,291,696,2008
7,Motor vehicles parts and accessories ,325,Chemical products,356,7,24,154,542,2008
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"11,499",230,"1,888","10,605","24,222",2008
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-813,9,591,742,529,2008
9,Furniture and furnishings ,321,Wood products,"1,733",124,239,"1,973","4,070",2008
9,Furniture and furnishings ,327,Nonmetallic mineral products,908,240,485,771,"2,404",2008
9,Furniture and furnishings ,331,Primary metals,141,3,12,217,372,2008
9,Furniture and furnishings ,332,Fabricated metal products,677,16,193,"1,179","2,065",2008
9,Furniture and furnishings ,334,Computer and electronic products,564,20,204,"1,187","1,976",2008
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","1,141",338,515,"2,313","4,307",2008
9,Furniture and furnishings ,337,Furniture and related products,"40,781","6,575","6,242","37,511","91,110",2008
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"4,714",730,"1,817","4,396","11,657",2008
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"8,537",522,"4,675","10,113","23,847",2008
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,31,3,26,65,125,2008
9,Furniture and furnishings ,323,Printing and related support activities,164,14,31,345,554,2008
9,Furniture and furnishings ,326,Plastics and rubber products,189,7,81,223,500,2008
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"2,061",0,0,0,"2,061",2008
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods","1,114","4,327","2,404","3,646","11,491",2008
10,Household appliances ,331,Primary metals,41,1,3,25,70,2008
10,Household appliances ,333,Machinery,"2,965",62,871,"1,801","5,699",2008
10,Household appliances ,335,"Electrical equipment, appliances, and components","21,489","1,207","3,617","13,512","39,825",2008
10,Household appliances ,326,Plastics and rubber products,102,2,38,186,327,2008
10,Household appliances ,Used,"Scrap, used and secondhand goods",-18,81,21,88,172,2008
11,"Glassware, tableware and household utensils ",321,Wood products,855,51,101,300,"1,307",2008
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"5,066",621,"1,733","2,428","9,848",2008
11,"Glassware, tableware and household utensils ",331,Primary metals,743,15,61,260,"1,079",2008
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"5,955",125,"1,498","2,133","9,711",2008
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,366,5,86,123,580,2008
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"12,209",231,"1,439","4,208","18,087",2008
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",311,307,171,217,"1,007",2008
12,Tools and equipment for house and garden ,321,Wood products,8,1,1,17,27,2008
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,492,116,45,221,874,2008
12,Tools and equipment for house and garden ,331,Primary metals,32,1,3,52,88,2008
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,504",36,584,"2,572","4,695",2008
12,Tools and equipment for house and garden ,333,Machinery,"2,107",49,511,"3,636","6,304",2008
12,Tools and equipment for house and garden ,334,Computer and electronic products,95,3,12,200,310,2008
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",154,2,37,251,445,2008
12,Tools and equipment for house and garden ,337,Furniture and related products,86,14,36,214,350,2008
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,313,50,123,537,"1,023",2008
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,20,1,6,49,75,2008
12,Tools and equipment for house and garden ,325,Chemical products,"1,116",28,148,725,"2,017",2008
12,Tools and equipment for house and garden ,326,Plastics and rubber products,129,3,24,368,524,2008
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"3,148",0,0,0,"3,148",2008
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",90,53,30,46,219,2008
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"2,439",53,"1,354",459,"4,305",2008
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"74,960",949,"14,314","24,787","115,010",2008
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components","2,729",39,690,"1,037","4,495",2008
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,23,3,2,0,28,2008
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,28,1,6,9,45,2008
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","25,373",317,"4,994","7,142","37,825",2008
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"15,734",217,"3,529","4,687","24,167",2008
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services","9,664",0,0,0,"9,664",2008
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",-8,133,30,48,203,2008
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,55,1,5,45,106,2008
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"3,090",63,"1,055","2,376","6,584",2008
15,"Sporting equipment, supplies, guns, and ammunition ",3364OT,Other transportation equipment,"5,810",70,117,"1,303","7,301",2008
15,"Sporting equipment, supplies, guns, and ammunition ",339,Miscellaneous manufacturing,"14,926","2,147","5,324","12,480","34,877",2008
15,"Sporting equipment, supplies, guns, and ammunition ",313TT,Textile mills and textile product mills,"1,451",68,566,"1,173","3,258",2008
15,"Sporting equipment, supplies, guns, and ammunition ",315AL,Apparel and leather and allied products,144,6,59,116,325,2008
15,"Sporting equipment, supplies, guns, and ammunition ",325,Chemical products,"1,262",32,111,"1,021","2,426",2008
15,"Sporting equipment, supplies, guns, and ammunition ",Used,"Scrap, used and secondhand goods",-16,83,46,103,216,2008
16,Sports and recreational vehicles ,332,Fabricated metal products,38,1,14,12,65,2008
16,Sports and recreational vehicles ,333,Machinery,"1,085",23,156,349,"1,613",2008
16,Sports and recreational vehicles ,335,"Electrical equipment, appliances, and components",65,1,10,19,95,2008
16,Sports and recreational vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","8,224",134,237,"2,645","11,240",2008
16,Sports and recreational vehicles ,3364OT,Other transportation equipment,"17,983",237,"1,404","5,959","25,583",2008
16,Sports and recreational vehicles ,326,Plastics and rubber products,313,17,141,762,"1,233",2008
16,Sports and recreational vehicles ,Used,"Scrap, used and secondhand goods",305,"4,569",730,907,"6,512",2008
17,Recreational books ,323,Printing and related support activities,253,10,22,103,389,2008
17,Recreational books ,511,"Publishing industries, except internet (includes software)","16,280",667,"1,849","6,533","25,329",2008
17,Recreational books ,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2008
18,Musical instruments,339,Miscellaneous manufacturing,"2,123",350,467,"1,891","4,831",2008
18,Musical instruments,315AL,Apparel and leather and allied products,129,6,28,115,278,2008
18,Musical instruments,Used,"Scrap, used and secondhand goods",-1,26,7,32,63,2008
20,Jewelry and watches ,334,Computer and electronic products,"4,106",58,"1,020","3,160","8,345",2008
20,Jewelry and watches ,339,Miscellaneous manufacturing,"27,180",349,"6,164","19,250","52,943",2008
20,Jewelry and watches ,Used,"Scrap, used and secondhand goods",250,"2,398",148,451,"3,247",2008
21,Therapeutic appliances and equipment,334,Computer and electronic products,"1,914",25,651,"1,754","4,344",2008
21,Therapeutic appliances and equipment,335,"Electrical equipment, appliances, and components",324,7,77,297,706,2008
21,Therapeutic appliances and equipment,339,Miscellaneous manufacturing,"17,630",229,"4,824","15,819","38,502",2008
21,Therapeutic appliances and equipment,621,Ambulatory health care services,"7,667",0,0,0,"7,667",2008
21,Therapeutic appliances and equipment,Used,"Scrap, used and secondhand goods",1,1,0,2,4,2008
22,Educational books,511,"Publishing industries, except internet (includes software)","6,015",234,670,"2,306","9,225",2008
22,Educational books,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2008
22,Educational books,Used,"Scrap, used and secondhand goods",2,223,32,111,367,2008
23,Luggage and similar personal items ,321,Wood products,453,22,216,531,"1,222",2008
23,Luggage and similar personal items ,339,Miscellaneous manufacturing,940,165,400,924,"2,429",2008
23,Luggage and similar personal items ,315AL,Apparel and leather and allied products,"9,905",484,"2,637","6,571","19,597",2008
24,Telephone and facsimile equipment ,334,Computer and electronic products,"6,833",93,"2,073","5,417","14,417",2008
27,Food and nonalcoholic beverages purchased for off-premises consumption ,111CA,Farms,"42,700","4,155","10,997","18,058","75,910",2008
27,Food and nonalcoholic beverages purchased for off-premises consumption ,113FF,"Forestry, fishing, and related activities","3,282",249,229,"1,216","4,975",2008
27,Food and nonalcoholic beverages purchased for off-premises consumption ,212,"Mining, except oil and gas",41,13,1,18,73,2008
27,Food and nonalcoholic beverages purchased for off-premises consumption ,311FT,Food and beverage and tobacco products,"367,395","8,465","46,991","162,881","585,731",2008
27,Food and nonalcoholic beverages purchased for off-premises consumption ,325,Chemical products,"1,119",31,74,493,"1,718",2008
27,Food and nonalcoholic beverages purchased for off-premises consumption ,Used,"Scrap, used and secondhand goods","-2,588",0,0,0,"-2,588",2008
28,Alcoholic beverages purchased for off-premises consumption,311FT,Food and beverage and tobacco products,"49,364","1,576","28,124","23,813","102,877",2008
29,Food produced and consumed on farms ,111CA,Farms,390,0,0,0,390,2008
32,Womens and girls clothing ,339,Miscellaneous manufacturing,103,14,39,139,296,2008
32,Womens and girls clothing ,313TT,Textile mills and textile product mills,351,16,140,473,980,2008
32,Womens and girls clothing ,315AL,Apparel and leather and allied products,"55,198","2,498","16,358","74,381","148,435",2008
32,Womens and girls clothing ,Used,"Scrap, used and secondhand goods",-192,311,131,600,850,2008
33,Mens and boys clothing ,339,Miscellaneous manufacturing,24,2,9,24,58,2008
33,Mens and boys clothing ,313TT,Textile mills and textile product mills,41,2,18,41,101,2008
33,Mens and boys clothing ,315AL,Apparel and leather and allied products,"34,516","1,566","13,082","34,636","83,800",2008
33,Mens and boys clothing ,Used,"Scrap, used and secondhand goods",-202,64,36,92,-10,2008
34,Childrens and infants clothing ,313TT,Textile mills and textile product mills,494,20,196,414,"1,125",2008
34,Childrens and infants clothing ,315AL,Apparel and leather and allied products,"3,853",156,"1,015","4,662","9,687",2008
34,Childrens and infants clothing ,322,Paper products,"3,608",165,314,"3,021","7,109",2008
34,Childrens and infants clothing ,Used,"Scrap, used and secondhand goods",-16,131,38,176,329,2008
35,Other clothing materials and footwear ,339,Miscellaneous manufacturing,106,16,25,155,301,2008
35,Other clothing materials and footwear ,313TT,Textile mills and textile product mills,"1,195",52,198,"1,736","3,181",2008
35,Other clothing materials and footwear ,315AL,Apparel and leather and allied products,"25,199","1,090","9,297","25,047","60,633",2008
35,Other clothing materials and footwear ,511,"Publishing industries, except internet (includes software)",0,0,0,0,0,2008
35,Other clothing materials and footwear ,Used,"Scrap, used and secondhand goods",138,117,65,177,498,2008
37,"Motor vehicle fuels, lubricants, and fluids ",324,Petroleum and coal products,"239,554","4,680","56,652","60,062","360,949",2008
37,"Motor vehicle fuels, lubricants, and fluids ",325,Chemical products,4,0,0,2,6,2008
38,Fuel oil and other fuels ,212,"Mining, except oil and gas",68,22,2,36,128,2008
38,Fuel oil and other fuels ,321,Wood products,157,11,33,87,287,2008
38,Fuel oil and other fuels ,324,Petroleum and coal products,"18,344",545,"3,533","5,947","28,369",2008
38,Fuel oil and other fuels ,325,Chemical products,816,26,57,451,"1,349",2008
40,Pharmaceutical and other medical products ,339,Miscellaneous manufacturing,"1,371",18,449,"1,208","3,045",2008
40,Pharmaceutical and other medical products ,324,Petroleum and coal products,517,9,41,456,"1,024",2008
40,Pharmaceutical and other medical products ,325,Chemical products,"152,451","2,935","47,414","95,070","297,870",2008
40,Pharmaceutical and other medical products ,326,Plastics and rubber products,205,4,85,489,784,2008
41,Recreational items ,111CA,Farms,"19,571","1,671","3,415","7,068","31,726",2008
41,Recreational items ,212,"Mining, except oil and gas",9,3,1,5,18,2008
41,Recreational items ,335,"Electrical equipment, appliances, and components",82,1,19,23,124,2008
41,Recreational items ,339,Miscellaneous manufacturing,"20,880","3,166","6,150","21,245","51,440",2008
41,Recreational items ,311FT,Food and beverage and tobacco products,"17,753",396,"2,948","10,621","31,717",2008
41,Recreational items ,313TT,Textile mills and textile product mills,80,4,30,48,161,2008
41,Recreational items ,315AL,Apparel and leather and allied products,322,14,140,193,669,2008
41,Recreational items ,322,Paper products,110,6,10,62,188,2008
41,Recreational items ,323,Printing and related support activities,139,6,13,141,299,2008
41,Recreational items ,325,Chemical products,"2,142",46,"1,139","1,059","4,385",2008
41,Recreational items ,326,Plastics and rubber products,"1,069",21,116,652,"1,857",2008
41,Recreational items ,81,"Other services, except government",26,0,0,0,26,2008
41,Recreational items ,Used,"Scrap, used and secondhand goods","1,269","1,608",986,"1,385","5,248",2008
42,Household supplies ,212,"Mining, except oil and gas",208,84,6,104,402,2008
42,Household supplies ,321,Wood products,691,46,78,401,"1,217",2008
42,Household supplies ,331,Primary metals,115,4,10,279,408,2008
42,Household supplies ,332,Fabricated metal products,293,6,48,166,513,2008
42,Household supplies ,335,"Electrical equipment, appliances, and components","1,844",24,431,"2,924","5,223",2008
42,Household supplies ,339,Miscellaneous manufacturing,"1,885",296,811,"4,567","7,559",2008
42,Household supplies ,313TT,Textile mills and textile product mills,"6,727",352,"2,190","16,130","25,399",2008
42,Household supplies ,315AL,Apparel and leather and allied products,86,4,25,212,327,2008
42,Household supplies ,322,Paper products,"14,291",753,"1,338","8,304","24,686",2008
42,Household supplies ,323,Printing and related support activities,"1,152",51,109,"2,631","3,942",2008
42,Household supplies ,325,Chemical products,"18,914",508,"2,738","9,609","31,768",2008
42,Household supplies ,326,Plastics and rubber products,"3,118",61,390,"2,179","5,748",2008
42,Household supplies ,Used,"Scrap, used and secondhand goods",0,2,0,4,6,2008
43,Personal care products ,332,Fabricated metal products,"1,096",24,399,934,"2,453",2008
43,Personal care products ,333,Machinery,173,4,25,174,375,2008
43,Personal care products ,335,"Electrical equipment, appliances, and components","3,081",397,564,"2,550","6,592",2008
43,Personal care products ,339,Miscellaneous manufacturing,"3,257",488,"1,319","2,742","7,806",2008
43,Personal care products ,313TT,Textile mills and textile product mills,368,16,151,310,845,2008
43,Personal care products ,315AL,Apparel and leather and allied products,31,1,9,26,67,2008
43,Personal care products ,322,Paper products,"4,883",232,439,"4,139","9,693",2008
43,Personal care products ,325,Chemical products,"33,604",706,"9,410","29,503","73,224",2008
43,Personal care products ,326,Plastics and rubber products,461,9,115,394,978,2008
44,Tobacco ,311FT,Food and beverage and tobacco products,"46,620",745,"23,460","13,383","84,207",2008
