"PCE Bridge Table, 2011",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","157,210","3,094","12,290","35,262","207,856",2011
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","58,655","1,191","3,220","33,523","96,590",2011
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,53,7,8,62,130,2011
7,Motor vehicles parts and accessories ,331,Primary metals,9,0,1,10,21,2011
7,Motor vehicles parts and accessories ,332,Fabricated metal products,417,14,168,488,"1,086",2011
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2011
7,Motor vehicles parts and accessories ,334,Computer and electronic products,7,0,4,8,20,2011
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,985",24,369,"2,324","4,701",2011
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","10,806",153,"1,691","12,650","25,300",2011
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,208,36,71,243,558,2011
7,Motor vehicles parts and accessories ,325,Chemical products,184,4,16,110,314,2011
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"13,203",230,"2,154","12,156","27,742",2011
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-842,8,839,857,862,2011
9,Furniture and furnishings ,321,Wood products,"1,965",149,381,"2,089","4,584",2011
9,Furniture and furnishings ,327,Nonmetallic mineral products,"1,305",213,446,803,"2,767",2011
9,Furniture and furnishings ,331,Primary metals,62,2,7,101,172,2011
9,Furniture and furnishings ,332,Fabricated metal products,370,13,133,606,"1,122",2011
9,Furniture and furnishings ,334,Computer and electronic products,"1,062",26,442,"1,125","2,655",2011
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","1,888",362,656,"2,043","4,948",2011
9,Furniture and furnishings ,337,Furniture and related products,"33,224","4,904","9,321","37,172","84,621",2011
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"3,910",623,"1,885","4,140","10,559",2011
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"8,300",407,"3,815","9,591","22,113",2011
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,152,8,100,161,422,2011
9,Furniture and furnishings ,323,Printing and related support activities,407,23,54,431,915,2011
9,Furniture and furnishings ,326,Plastics and rubber products,458,8,131,397,994,2011
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"2,258",0,0,0,"2,258",2011
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods","1,660","1,844",856,"1,386","5,746",2011
10,Household appliances ,331,Primary metals,31,1,3,19,54,2011
10,Household appliances ,333,Machinery,"2,583",67,802,"1,604","5,057",2011
10,Household appliances ,335,"Electrical equipment, appliances, and components","21,308","1,093","5,000","13,142","40,544",2011
10,Household appliances ,326,Plastics and rubber products,94,2,33,172,300,2011
10,Household appliances ,Used,"Scrap, used and secondhand goods",-83,48,14,37,16,2011
