"PCE Bridge Table, 2000",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","160,528","2,663","8,216","39,302","210,708",2000
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","75,873","1,190","1,440","32,228","110,731",2000
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,8,1,1,6,16,2000
7,Motor vehicles parts and accessories ,331,Primary metals,11,0,1,9,21,2000
7,Motor vehicles parts and accessories ,332,Fabricated metal products,77,1,7,62,147,2000
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2000
7,Motor vehicles parts and accessories ,334,Computer and electronic products,16,0,3,13,33,2000
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,580",21,229,"2,085","4,915",2000
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","8,795",100,664,"7,105","16,663",2000
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,206,26,43,166,440,2000
7,Motor vehicles parts and accessories ,325,Chemical products,277,6,19,91,393,2000
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"8,659",190,"1,186","6,894","16,931",2000
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-839,20,994,"2,054","2,230",2000
9,Furniture and furnishings ,321,Wood products,"1,124",56,108,806,"2,094",2000
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,163",256,579,985,"3,983",2000
9,Furniture and furnishings ,331,Primary metals,133,2,11,290,435,2000
9,Furniture and furnishings ,332,Fabricated metal products,225,4,50,491,770,2000
9,Furniture and furnishings ,334,Computer and electronic products,948,11,137,668,"1,764",2000
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,383",297,438,"1,716","4,835",2000
9,Furniture and furnishings ,337,Furniture and related products,"34,096","4,234","2,574","32,067","72,971",2000
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"2,917",365,459,"2,205","5,945",2000
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"7,692",259,"2,354","8,088","18,394",2000
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,81,3,23,57,164,2000
9,Furniture and furnishings ,323,Printing and related support activities,122,4,10,86,223,2000
