"PCE Bridge Table, 2006",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","177,342","3,721","9,732","42,252","233,047",2006
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","67,846","2,427","1,737","36,451","108,461",2006
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,27,3,3,26,58,2006
7,Motor vehicles parts and accessories ,331,Primary metals,4,0,0,4,8,2006
7,Motor vehicles parts and accessories ,332,Fabricated metal products,91,2,11,88,192,2006
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2006
7,Motor vehicles parts and accessories ,334,Computer and electronic products,5,0,1,5,11,2006
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,299",16,154,"1,252","2,721",2006
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","12,637",193,"1,329","12,176","26,335",2006
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,218,33,41,210,502,2006
7,Motor vehicles parts and accessories ,325,Chemical products,394,8,26,180,608,2006
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"10,367",213,"1,600","9,924","22,104",2006
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-980,15,692,"1,174",902,2006
9,Furniture and furnishings ,321,Wood products,"1,513",87,173,"1,820","3,593",2006
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,194",296,572,918,"3,981",2006
9,Furniture and furnishings ,331,Primary metals,45,1,4,100,150,2006
9,Furniture and furnishings ,332,Fabricated metal products,346,8,99,778,"1,231",2006
9,Furniture and furnishings ,334,Computer and electronic products,960,17,154,"1,158","2,288",2006
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,008",306,494,"2,434","5,243",2006
9,Furniture and furnishings ,337,Furniture and related products,"45,845","6,918","4,176","41,727","98,667",2006
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"5,731",838,"1,470","4,036","12,075",2006
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"13,037",473,"4,623","11,398","29,530",2006
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,40,1,13,49,103,2006
9,Furniture and furnishings ,323,Printing and related support activities,22,1,2,27,51,2006
9,Furniture and furnishings ,326,Plastics and rubber products,537,10,118,356,"1,021",2006
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"2,690",0,0,0,"2,690",2006
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods",982,"4,136","1,132","2,954","9,204",2006
10,Household appliances ,331,Primary metals,8,0,1,5,14,2006
10,Household appliances ,333,Machinery,"2,975",66,974,"1,848","5,862",2006
10,Household appliances ,335,"Electrical equipment, appliances, and components","21,853","1,235","3,284","14,164","40,536",2006
10,Household appliances ,326,Plastics and rubber products,97,2,27,191,317,2006
10,Household appliances ,Used,"Scrap, used and secondhand goods",-79,190,21,112,244,2006
11,"Glassware, tableware and household utensils ",321,Wood products,"1,109",63,127,361,"1,659",2006
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"5,347",691,"1,815","2,706","10,559",2006
11,"Glassware, tableware and household utensils ",331,Primary metals,591,13,56,192,852,2006
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"6,725",146,"1,551","2,204","10,626",2006
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,606,8,134,197,946,2006
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"13,226",253,"1,414","4,301","19,194",2006
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",489,524,231,443,"1,687",2006
12,Tools and equipment for house and garden ,321,Wood products,15,1,2,34,51,2006
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,495,100,48,226,869,2006
12,Tools and equipment for house and garden ,331,Primary metals,30,1,3,67,100,2006
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,499",33,501,"3,358","5,390",2006
12,Tools and equipment for house and garden ,333,Machinery,"1,621",35,382,"3,642","5,680",2006
12,Tools and equipment for house and garden ,334,Computer and electronic products,56,1,5,126,188,2006
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",151,2,37,338,528,2006
12,Tools and equipment for house and garden ,337,Furniture and related products,92,15,33,240,379,2006
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,243,37,84,553,917,2006
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,38,2,9,100,148,2006
12,Tools and equipment for house and garden ,325,Chemical products,"1,183",27,128,607,"1,945",2006
12,Tools and equipment for house and garden ,326,Plastics and rubber products,121,2,18,318,459,2006
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"4,342",0,0,0,"4,342",2006
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",95,64,35,80,275,2006
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"2,922",63,"1,106","1,528","5,619",2006
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"76,909",983,"11,939","24,094","113,925",2006
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components","1,726",22,424,526,"2,698",2006
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,0,0,0,0,0,2006
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,225,8,42,203,479,2006
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","25,866",242,"3,094","6,442","35,643",2006
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"20,786",259,"3,867","4,477","29,388",2006
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2006
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",6,141,27,53,227,2006
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,12,0,1,8,21,2006
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"3,111",67,997,"2,191","6,367",2006
15,"Sporting equipment, supplies, guns, and ammunition ",3364OT,Other transportation equipment,"5,092",63,141,"1,355","6,651",2006
15,"Sporting equipment, supplies, guns, and ammunition ",339,Miscellaneous manufacturing,"15,560","2,352","4,957","11,663","34,533",2006
15,"Sporting equipment, supplies, guns, and ammunition ",313TT,Textile mills and textile product mills,"1,874",77,576,"1,340","3,867",2006
15,"Sporting equipment, supplies, guns, and ammunition ",315AL,Apparel and leather and allied products,150,5,48,107,310,2006
