"PCE Bridge Table, 1999",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","149,057","2,377","7,081","41,543","200,058",1999
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","70,703","4,461","1,296","33,142","109,602",1999
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,6,1,0,6,13,1999
7,Motor vehicles parts and accessories ,331,Primary metals,10,0,1,9,20,1999
7,Motor vehicles parts and accessories ,332,Fabricated metal products,64,1,5,62,132,1999
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,1999
7,Motor vehicles parts and accessories ,334,Computer and electronic products,10,0,2,10,22,1999
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,542",20,198,"2,471","5,230",1999
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","7,211",78,502,"7,009","14,799",1999
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,154,20,28,150,352,1999
7,Motor vehicles parts and accessories ,325,Chemical products,180,4,13,59,255,1999
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"8,068",177,"1,088","7,696","17,029",1999
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-532,19,"1,263","2,465","3,215",1999
9,Furniture and furnishings ,321,Wood products,885,42,84,629,"1,641",1999
9,Furniture and furnishings ,327,Nonmetallic mineral products,"1,991",240,522,911,"3,664",1999
9,Furniture and furnishings ,331,Primary metals,149,2,11,288,450,1999
9,Furniture and furnishings ,332,Fabricated metal products,270,4,59,522,855,1999
9,Furniture and furnishings ,334,Computer and electronic products,913,10,139,638,"1,700",1999
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","1,989",254,330,"1,432","4,005",1999
9,Furniture and furnishings ,337,Furniture and related products,"31,163","3,968","2,224","29,480","66,835",1999
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"3,035",392,444,"2,204","6,075",1999
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"6,805",215,"1,978","7,162","16,161",1999
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,52,2,14,36,104,1999
9,Furniture and furnishings ,323,Printing and related support activities,130,4,10,91,235,1999
9,Furniture and furnishings ,326,Plastics and rubber products,671,14,132,602,"1,419",1999
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"1,243",0,0,0,"1,243",1999
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods","1,417","2,444",718,"2,315","6,894",1999
10,Household appliances ,331,Primary metals,120,2,9,70,201,1999
10,Household appliances ,333,Machinery,"2,181",36,456,"1,410","4,083",1999
10,Household appliances ,335,"Electrical equipment, appliances, and components","14,383",590,"2,666","9,132","26,771",1999
10,Household appliances ,326,Plastics and rubber products,80,2,16,111,209,1999
10,Household appliances ,Used,"Scrap, used and secondhand goods",25,133,42,152,351,1999
11,"Glassware, tableware and household utensils ",321,Wood products,955,44,85,357,"1,440",1999
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"4,143",450,"1,140","2,552","8,285",1999
11,"Glassware, tableware and household utensils ",331,Primary metals,"1,705",28,129,637,"2,500",1999
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"3,785",62,897,"1,434","6,178",1999
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,616,5,119,230,971,1999
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"7,120",146,912,"2,660","10,838",1999
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",475,523,227,472,"1,697",1999
12,Tools and equipment for house and garden ,321,Wood products,33,2,3,63,100,1999
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,245,33,30,80,387,1999
12,Tools and equipment for house and garden ,331,Primary metals,7,0,1,14,23,1999
12,Tools and equipment for house and garden ,332,Fabricated metal products,521,9,138,"1,006","1,673",1999
12,Tools and equipment for house and garden ,333,Machinery,"2,113",35,373,"4,091","6,612",1999
12,Tools and equipment for house and garden ,334,Computer and electronic products,15,0,1,29,45,1999
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",49,0,8,95,153,1999
12,Tools and equipment for house and garden ,337,Furniture and related products,219,30,64,454,767,1999
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,144,18,41,280,483,1999
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,8,0,1,16,26,1999
12,Tools and equipment for house and garden ,325,Chemical products,579,13,49,214,856,1999
12,Tools and equipment for house and garden ,326,Plastics and rubber products,93,2,14,193,301,1999
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"4,749",0,0,0,"4,749",1999
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",81,37,22,62,202,1999
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"2,907",48,782,"1,005","4,742",1999
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"43,330",354,"7,292","18,947","69,922",1999
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components","2,398",19,401,990,"3,808",1999
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,1,0,0,0,1,1999
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,6,0,1,3,10,1999
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","5,877",45,902,"2,852","9,676",1999
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"21,322",162,"3,855","3,066","28,405",1999
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services",0,0,0,0,0,1999
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",-59,431,81,190,642,1999
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,41,1,3,27,72,1999
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"2,256",37,625,"1,440","4,357",1999
15,"Sporting equipment, supplies, guns, and ammunition ",3364OT,Other transportation equipment,"2,184",16,70,950,"3,221",1999
15,"Sporting equipment, supplies, guns, and ammunition ",339,Miscellaneous manufacturing,"11,314","1,457","3,267","7,515","23,553",1999
15,"Sporting equipment, supplies, guns, and ammunition ",313TT,Textile mills and textile product mills,"1,255",43,328,832,"2,458",1999
15,"Sporting equipment, supplies, guns, and ammunition ",315AL,Apparel and leather and allied products,75,2,20,50,147,1999
15,"Sporting equipment, supplies, guns, and ammunition ",325,Chemical products,618,15,75,410,"1,117",1999
15,"Sporting equipment, supplies, guns, and ammunition ",Used,"Scrap, used and secondhand goods",-1,227,38,87,351,1999
16,Sports and recreational vehicles ,332,Fabricated metal products,3,0,1,1,5,1999
16,Sports and recreational vehicles ,333,Machinery,34,1,4,19,58,1999
16,Sports and recreational vehicles ,335,"Electrical equipment, appliances, and components",13,0,1,5,19,1999
16,Sports and recreational vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","7,310",67,185,"2,757","10,319",1999
16,Sports and recreational vehicles ,3364OT,Other transportation equipment,"10,394",83,"1,011","5,323","16,810",1999
16,Sports and recreational vehicles ,326,Plastics and rubber products,200,4,27,178,410,1999
16,Sports and recreational vehicles ,Used,"Scrap, used and secondhand goods",60,"2,323",644,"1,175","4,202",1999
17,Recreational books ,323,Printing and related support activities,104,3,8,36,151,1999
17,Recreational books ,511,"Publishing industries, except internet (includes software)","15,498",473,"1,383","5,185","22,540",1999
17,Recreational books ,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,1999
18,Musical instruments,339,Miscellaneous manufacturing,"1,548",199,281,"1,546","3,575",1999
18,Musical instruments,315AL,Apparel and leather and allied products,62,2,11,62,137,1999
18,Musical instruments,Used,"Scrap, used and secondhand goods",56,53,17,89,214,1999
20,Jewelry and watches ,334,Computer and electronic products,"2,588",22,501,"2,100","5,211",1999
20,Jewelry and watches ,339,Miscellaneous manufacturing,"19,796",167,"3,817","16,156","39,936",1999
20,Jewelry and watches ,Used,"Scrap, used and secondhand goods",-338,669,249,812,"1,392",1999
21,Therapeutic appliances and equipment,334,Computer and electronic products,960,7,247,"1,166","2,381",1999
21,Therapeutic appliances and equipment,335,"Electrical equipment, appliances, and components",694,6,115,842,"1,657",1999
21,Therapeutic appliances and equipment,339,Miscellaneous manufacturing,"7,456",57,"1,883","8,347","17,743",1999
21,Therapeutic appliances and equipment,621,Ambulatory health care services,"7,886",0,0,0,"7,886",1999
21,Therapeutic appliances and equipment,Used,"Scrap, used and secondhand goods",14,8,4,11,37,1999
22,Educational books,511,"Publishing industries, except internet (includes software)","5,764",178,530,"1,957","8,428",1999
22,Educational books,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,1999
22,Educational books,Used,"Scrap, used and secondhand goods",-2,85,11,41,135,1999
23,Luggage and similar personal items ,321,Wood products,224,7,60,157,448,1999
23,Luggage and similar personal items ,339,Miscellaneous manufacturing,"1,391",180,527,358,"2,455",1999
23,Luggage and similar personal items ,315AL,Apparel and leather and allied products,"5,942",183,"1,098","2,994","10,217",1999
24,Telephone and facsimile equipment ,334,Computer and electronic products,"1,615",12,318,"2,861","4,806",1999
27,Food and nonalcoholic beverages purchased for off-premises consumption ,111CA,Farms,"27,808","2,317","6,212","12,009","48,347",1999
27,Food and nonalcoholic beverages purchased for off-premises consumption ,113FF,"Forestry, fishing, and related activities","2,333",168,214,868,"3,583",1999
27,Food and nonalcoholic beverages purchased for off-premises consumption ,212,"Mining, except oil and gas",20,5,1,9,35,1999
27,Food and nonalcoholic beverages purchased for off-premises consumption ,311FT,Food and beverage and tobacco products,"248,708","4,227","32,091","108,299","393,324",1999
27,Food and nonalcoholic beverages purchased for off-premises consumption ,325,Chemical products,639,16,45,278,979,1999
27,Food and nonalcoholic beverages purchased for off-premises consumption ,Used,"Scrap, used and secondhand goods","-1,322",0,0,0,"-1,322",1999
28,Alcoholic beverages purchased for off-premises consumption,311FT,Food and beverage and tobacco products,"34,270",712,"19,987","15,266","70,235",1999
29,Food produced and consumed on farms ,111CA,Farms,350,0,0,0,350,1999
