"PCE Bridge Table, 2020",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","215,969","3,261","6,158","67,520","292,908",2020
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","106,168","1,626","3,471","56,643","167,908",2020
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,100,17,15,69,201,2020
7,Motor vehicles parts and accessories ,331,Primary metals,17,1,2,11,31,2020
7,Motor vehicles parts and accessories ,332,Fabricated metal products,634,21,311,436,"1,401",2020
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,1,2020
7,Motor vehicles parts and accessories ,334,Computer and electronic products,37,0,20,25,83,2020
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,258",26,330,"1,555","4,169",2020
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","20,277",254,"2,951","13,965","37,446",2020
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,266,37,86,183,572,2020
7,Motor vehicles parts and accessories ,325,Chemical products,269,5,27,149,450,2020
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"17,539",379,"4,327","11,996","34,241",2020
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-264,12,"1,280",824,"1,853",2020
9,Furniture and furnishings ,321,Wood products,"4,138",292,757,"6,481","11,667",2020
9,Furniture and furnishings ,327,Nonmetallic mineral products,"3,439",534,"1,488","1,795","7,256",2020
9,Furniture and furnishings ,331,Primary metals,255,8,29,481,774,2020
9,Furniture and furnishings ,332,Fabricated metal products,804,26,326,"1,513","2,669",2020
9,Furniture and furnishings ,334,Computer and electronic products,"1,248",35,340,"2,015","3,638",2020
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,585",358,782,"4,212","7,936",2020
