"PCE Bridge Table, 2018",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","205,367","3,362","8,595","69,075","286,399",2018
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","93,459","1,638","3,734","58,750","157,580",2018
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,68,11,9,43,131,2018
7,Motor vehicles parts and accessories ,331,Primary metals,20,1,2,12,35,2018
7,Motor vehicles parts and accessories ,332,Fabricated metal products,522,17,210,328,"1,077",2018
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2018
7,Motor vehicles parts and accessories ,334,Computer and electronic products,25,0,13,16,55,2018
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,948",21,272,"1,225","3,465",2018
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","20,878",259,"2,806","13,123","37,066",2018
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,273,41,81,172,567,2018
7,Motor vehicles parts and accessories ,325,Chemical products,212,4,20,124,360,2018
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"17,357",396,"3,895","10,758","32,406",2018
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods","-1,055",6,956,416,324,2018
9,Furniture and furnishings ,321,Wood products,"3,404",244,553,"5,218","9,419",2018
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,421",388,926,"1,382","5,117",2018
9,Furniture and furnishings ,331,Primary metals,180,6,20,321,527,2018
9,Furniture and furnishings ,332,Fabricated metal products,502,16,164,897,"1,579",2018
9,Furniture and furnishings ,334,Computer and electronic products,862,22,273,"1,366","2,523",2018
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","1,960",293,616,"3,124","5,993",2018
9,Furniture and furnishings ,337,Furniture and related products,"55,313","8,294","13,201","48,321","125,129",2018
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"6,075",683,"2,684","6,286","15,728",2018
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"9,126",510,"5,375","18,010","33,020",2018
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,74,4,40,117,235,2018
9,Furniture and furnishings ,323,Printing and related support activities,235,11,27,373,647,2018
9,Furniture and furnishings ,326,Plastics and rubber products,198,4,62,349,613,2018
