"","Item","Prod.Share","Transport.Share","Wholesale.Share","Retail.Share","Pan.Avg.Chg","Pre.Pan.Avg.Chg"
"1","New motor vehicles ",0.75080950323606,0.0136310014267705,0.0403480695287042,0.195211958317994,0.571965532773354,0.0614553919534934
"2","Net purchases of used motor vehicles ",0.625465573604944,0.0215013448412063,0.0198594604234235,0.333172904932206,2.28109608381774,-0.103953108553545
"3","Motor vehicles parts and accessories ",0.470940959409594,0.0650369003690037,0.0595018450184502,0.404059040590406,0.453366109299869,0.0953292565370356
"4","Furniture and furnishings ",0.412259340025286,0.0259136381763723,0.0597184628308147,0.502057648087024,0.54293712229154,-0.144267102584517
"5","Household appliances ",0.585825747724317,0.011703511053316,0.0474642392717815,0.353055916775033,0.874489246147083,-0.132318839978763
"6","Glassware, tableware and household utensils ",0.638969732246799,0.0360884749708964,0.0744324796274738,0.250545692665891,0.0749035716371719,-0.220509081699019
"7","Tools and equipment for house and garden ",0.332946635730858,0.0174013921113689,0.031322505800464,0.617169373549884,0.452359374400746,0.0133473014955836
"8","Video, audio, photographic, and information processing equipment and media ",0.447908399310865,0.0101240829284345,0.33637894655336,0.205569213496196,-0.153129246978693,-0.637771338597626
"9","Sporting equipment, supplies, guns, and ammunition ",0.514859437751004,0.0112449799196787,0.0497991967871486,0.424096385542169,0.393410736843645,-0.190265223594055
"10","Sports and recreational vehicles ",0.53448275862069,0.0129310344827586,0.193103448275862,0.262068965517241,0.434952086550051,0.0963462962355569
"11","Recreational books ",0.650088809946714,0.0233443288505455,0.0570921086018777,0.269474752600863,0.00909154893677475,-0.0527637160913252
"12","Musical instruments",0.421959734873994,0.059591323148903,0.101353985751249,0.41711267855244,0.296297067392462,0.0497028525084831
"13","Jewelry and watches ",0.402637047389617,0.00445024733812685,0.162171978153331,0.430745324481877,0.452818670496494,0.0975688106021187
"14","Therapeutic appliances and equipment",0.434108021773852,0.00455523322142182,0.151341308386844,0.409987287721243,0.00651313662603485,0.0434247595731651
"15","Educational books",0.620332020558728,0.0231794335208034,0.0738496267554122,0.28264376335179,0.206947288031714,0.244555074964239
"16","Luggage and similar personal items ",0.372540983606557,0.0167520491803279,0.179969262295082,0.430993852459016,0.287418927060829,-0.111218810897045
"18","Food and nonalcoholic beverages purchased for off-premises consumption ",0.559341114218696,0.0595579394159737,0.138189925731895,0.242909925556682,0.457903505229236,0.105230747739241
"19","Alcoholic beverages purchased for off-premises consumption",0.487821686628714,0.0127756310231509,0.263913067916877,0.235488426921016,0.149592547342425,0.0707983662769071
"20","Food produced and consumed on farms ",1,0,0,0,1.04179721994993,0.13224553894845
"21","Womens and girls clothing ",0.349043611323642,0.0358071920428462,0.120275439938791,0.494567712318286,-0.114916335118332,-0.0115201254888154
"22","Mens and boys clothing ",0.440167218254659,0.0414561923009929,0.142483887824421,0.375544330256053,0.17385948048044,0.0328494087929044
"23","Childrens and infants clothing ",0.377889583899918,0.0145045780074336,0.140921040703472,0.466548816970356,0.182292210561691,0.0219657305455855
"24","Other clothing materials and footwear ",0.389670841183642,0.0486534412058074,0.0674941815360745,0.494403191843068,0.104094920210667,0.0664217805176352
"25","Motor vehicle fuels, lubricants, and fluids ",0.576457336627068,0.0188250389572913,0.198807331169188,0.205911080819309,1.3125435066902,0.078949843179076
"26","Fuel oil and other fuels ",0.53957131079967,0.157460840890355,0.0206100577081616,0.282357790601814,1.44125748451768,0.0176603945861926
"27","Pharmaceutical and other medical products ",0.353655002079212,0.00374258099474527,0.122043424020565,0.52059679675391,-0.0132345815937295,0.196229022200963
"28","Recreational items ",0.581697093610016,0.0560910680176987,0.113726657553598,0.248482569624236,0.105215865156799,-0.214700944698316
"29","Household supplies ",0.564668289713938,0.170419963481436,0.0243457090687766,0.240718198417529,0.282490787948849,-0.0538560869423887
"30","Personal care products ",0.437224151308175,0.0113455692499459,0.15990638633444,0.39152389310744,-0.0136769582104141,-0.00787895292841673
"31","Tobacco ",0.574771300938647,0.00756185185369223,0.254349630056597,0.163319204758332,0.563896313442706,0.318769166615362
"32","Magazines, newspapers, and stationery ",0.571769900798451,0.0802988144205178,0.0617665739172514,0.286172271957416,0.321395809985189,0.183257676456766
"33","Net expenditures abroad by U.S. residents ",1,0,0,0,NA,NA
"34","Rental of tenant-occupied nonfarm housing ",1,0,0,0,0.235591874048904,0.257458836833862
"35","Imputed rental of owner-occupied nonfarm housing ",1,0,0,0,0.25002883489234,0.216085211965439
"36","Rental value of farm dwellings  ",1,0,0,0,0.292589358541892,0.222403700031023
"37","Group housing ",1,0,0,0,0.235554731514875,0.257458765173842
"38","Water supply and sanitation ",1,0,0,0,0.310753759839021,0.327476768064331
"39","Electricity",1,0,0,0,0.515603061900873,0.100308551162002
"40","Natural Gas ",1,0,0,0,1.16238020725585,-0.104753382744403
"41","Physician services ",1,0,0,0,0.197976852141224,0.0511634627098772
"42","Dental services ",1,0,0,0,0.244582649940982,0.204291252954361
"43","Paramedical services ",1,0,0,0,0.223611406153932,0.0872251299736057
"44","Hospitals ",1,0,0,0,0.271829820351087,0.153524665676254
"45","Nursing homes",1,0,0,0,0.176150312729759,0.191804919850444
"46","Motor vehicle maintenance and repair",1,0,0,0,0.323290947797133,0.171989474854746
"47","Other motor vehicle services",1,0,0,0,0.376719708221388,0.0137309991967762
"48","Ground transportation",1,0,0,0,0.0525223043945078,0.155680403218057
"49","Air transportation",1,0,0,0,-0.137526169771421,0.160473800216154
"50","Water transportation",1,0,0,0,0.0480135483036,-0.00983050656495745
"51","Membership clubs, sports centers, parks, theaters, and museums",1,0,0,0,0.145140295078032,0.166165185537656
"52","Audio-video, photographic, and information processing equipment services",1,0,0,0,0.290813263819421,0.191851375676737
"53","Gambling",1,0,0,0,0.373430827097901,0.146842102592558
"54","Other recreational services",1,0,0,0,0.372894947818001,0.214203156597711
"55","Purchased meals and beverages",1,0,0,0,0.440157272374764,0.207478238914995
"56","Food furnished to employees (including military)",0.768287412209616,0.0809832522960562,0.150783360345759,0,-3.19239262621135,0.231984141714425
"57","Accommodations ",1,0,0,0,0.315548765296811,0.202598438550314
"58","Financial services furnished without payment",1,0,0,0,0.178295016409459,0.479063380958185
"59","Financial service charges, fees, and commissions",1,0,0,0,0.473928900081218,0.406837965645376
"60","Life insurance",1,0,0,0,0.196325318518216,0.179556783624328
"61","Net household insurance",1,0,0,0,0.0875615564777687,0.201123424966255
"62","Net health insurance",1,0,0,0,0.0455083480318343,0.17371523571804
"63","Net motor vehicle and other transportation insurance",1,0,0,0,-0.102028415007623,0.295809955514998
"64","Telecommunication services",1,0,0,0,-0.14218385562732,-0.300863978216082
"65","Postal and delivery services",1,0,0,0,0.434580427579141,0.274576887795668
"66","Internet access",1,0,0,0,0.004500829338944,0.0124562913009877
"67","Higher education",1,0,0,0,0.0984060424296917,0.278555339557393
"68","Nursery, elementary, and secondary schools",1,0,0,0,0.188553824813166,0.278357342790862
"69","Commercial and vocational schools",1,0,0,0,0.118782406477247,0.217543906060614
"70","Professional and other services",0.624531027072728,0.0984446832120903,0.0783030665985592,0.198685995103306,0.181208478654026,0.221871861509386
"71","Personal care and clothing services",1,0,0,0,0.370578706746608,0.1912198125433
"72","Social services and religious activities",1,0,0,0,0.412950916265259,0.204828018605221
"73","Household maintenance",1,0,0,0,0.541748669031243,0.229809244430327
"74","Foreign travel by U.S. residents",1,0,0,0,-0.309546595819553,0.0843339962297778
"75","Less: Expenditures in the United States by nonresidents",1,0,0,0,0.259388934385047,0.159317378647489
"76","Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1,0,0,0,0.667703587928854,0.206535598404948
