"PCE Bridge Table, 2016",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","196,565","3,013","10,066","64,121","273,765",2016
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","82,209","1,302","3,859","51,517","138,887",2016
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,53,8,7,33,101,2016
7,Motor vehicles parts and accessories ,331,Primary metals,23,1,3,14,41,2016
7,Motor vehicles parts and accessories ,332,Fabricated metal products,562,18,218,354,"1,152",2016
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2016
7,Motor vehicles parts and accessories ,334,Computer and electronic products,18,0,10,11,40,2016
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","2,722",25,367,"1,717","4,831",2016
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","18,756",197,"2,440","11,829","33,222",2016
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,263,34,70,166,533,2016
7,Motor vehicles parts and accessories ,325,Chemical products,205,4,19,133,362,2016
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"15,936",351,"4,163","9,993","30,443",2016
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods",-765,6,"1,204",498,943,2016
9,Furniture and furnishings ,321,Wood products,"3,021",181,471,"4,219","7,892",2016
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,029",285,721,"1,130","4,165",2016
9,Furniture and furnishings ,331,Primary metals,210,6,23,386,625,2016
9,Furniture and furnishings ,332,Fabricated metal products,465,14,148,854,"1,481",2016
9,Furniture and furnishings ,334,Computer and electronic products,868,21,234,"1,238","2,361",2016
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,167",284,698,"3,116","6,266",2016
9,Furniture and furnishings ,337,Furniture and related products,"49,594","6,513","11,739","43,526","111,372",2016
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"4,459",509,"2,016","4,486","11,470",2016
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"8,857",407,"4,655","16,518","30,438",2016
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,53,2,29,76,161,2016
9,Furniture and furnishings ,323,Printing and related support activities,228,9,27,325,589,2016
9,Furniture and furnishings ,326,Plastics and rubber products,191,4,58,312,566,2016
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"6,726",0,0,0,"6,726",2016
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods",-268,"1,683",813,"1,674","3,902",2016
10,Household appliances ,331,Primary metals,6,0,1,4,11,2016
10,Household appliances ,333,Machinery,"2,162",66,852,"1,573","4,654",2016
10,Household appliances ,335,"Electrical equipment, appliances, and components","23,417",897,"7,893","17,020","49,227",2016
10,Household appliances ,326,Plastics and rubber products,18,0,8,38,64,2016
10,Household appliances ,Used,"Scrap, used and secondhand goods",-84,24,7,16,-37,2016
11,"Glassware, tableware and household utensils ",321,Wood products,540,32,75,260,908,2016
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"3,944",557,"1,942","2,330","8,772",2016
11,"Glassware, tableware and household utensils ",331,Primary metals,394,12,44,190,639,2016
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"3,944",122,"1,389","1,913","7,369",2016
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,142,1,72,68,283,2016
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"12,649",254,"1,684","6,092","20,679",2016
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",-634,82,40,36,-476,2016
12,Tools and equipment for house and garden ,321,Wood products,3,0,0,6,9,2016
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,519,133,62,337,"1,052",2016
12,Tools and equipment for house and garden ,331,Primary metals,8,0,1,16,25,2016
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,640",52,676,"2,987","5,355",2016
12,Tools and equipment for house and garden ,333,Machinery,"3,274",100,742,"6,012","10,127",2016
12,Tools and equipment for house and garden ,334,Computer and electronic products,204,6,33,375,619,2016
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",94,1,30,173,298,2016
12,Tools and equipment for house and garden ,337,Furniture and related products,250,35,131,631,"1,047",2016
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,326,43,168,607,"1,144",2016
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,14,1,7,34,55,2016
12,Tools and equipment for house and garden ,325,Chemical products,"2,289",62,344,"1,976","4,671",2016
12,Tools and equipment for house and garden ,326,Plastics and rubber products,113,2,23,286,424,2016
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"3,381",0,0,0,"3,381",2016
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",54,58,21,42,175,2016
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"1,016",31,"1,923",905,"3,876",2016
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"58,363",505,"18,150","29,311","106,329",2016
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components",822,7,265,656,"1,750",2016
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,16,2,2,27,47,2016
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,31,1,8,22,63,2016
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","42,474",354,"11,992","9,351","64,171",2016
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"7,814",52,"1,659","6,397","15,922",2016
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services","6,478",0,0,0,"6,478",2016
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",-11,69,21,26,104,2016
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,33,1,4,29,66,2016
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"9,327",282,"3,220","8,225","21,053",2016
15,"Sporting equipment, supplies, guns, and ammunition ",3364OT,Other transportation equipment,"4,055",40,156,"2,133","6,383",2016
15,"Sporting equipment, supplies, guns, and ammunition ",339,Miscellaneous manufacturing,"14,547","1,793","5,136","14,032","35,507",2016
15,"Sporting equipment, supplies, guns, and ammunition ",313TT,Textile mills and textile product mills,"1,709",89,892,"1,533","4,223",2016
15,"Sporting equipment, supplies, guns, and ammunition ",315AL,Apparel and leather and allied products,152,6,84,136,378,2016
15,"Sporting equipment, supplies, guns, and ammunition ",325,Chemical products,"1,309",37,180,"1,175","2,701",2016
15,"Sporting equipment, supplies, guns, and ammunition ",Used,"Scrap, used and secondhand goods",-113,0,0,0,-113,2016
16,Sports and recreational vehicles ,332,Fabricated metal products,3,0,1,2,6,2016
16,Sports and recreational vehicles ,333,Machinery,14,0,3,10,28,2016
16,Sports and recreational vehicles ,335,"Electrical equipment, appliances, and components",20,0,3,12,35,2016
16,Sports and recreational vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","13,154",150,461,"6,134","19,899",2016
16,Sports and recreational vehicles ,3364OT,Other transportation equipment,"15,124",130,"1,939","9,726","26,919",2016
16,Sports and recreational vehicles ,326,Plastics and rubber products,"1,304",29,344,820,"2,497",2016
16,Sports and recreational vehicles ,Used,"Scrap, used and secondhand goods",514,"3,699",609,"1,282","6,103",2016
17,Recreational books ,323,Printing and related support activities,30,1,4,14,49,2016
17,Recreational books ,511,"Publishing industries, except internet (includes software)","9,723",386,"1,436","4,687","16,232",2016
17,Recreational books ,514,"Data processing, internet publishing, and other information services","3,069",0,0,0,"3,069",2016
18,Musical instruments,339,Miscellaneous manufacturing,"2,072",274,549,"2,261","5,155",2016
18,Musical instruments,315AL,Apparel and leather and allied products,190,8,50,207,455,2016
18,Musical instruments,Used,"Scrap, used and secondhand goods",-14,19,6,19,30,2016
20,Jewelry and watches ,334,Computer and electronic products,"4,553",43,"2,305","5,584","12,485",2016
20,Jewelry and watches ,339,Miscellaneous manufacturing,"18,789",177,"9,512","23,428","51,905",2016
20,Jewelry and watches ,Used,"Scrap, used and secondhand goods","1,966","2,354","1,134","2,308","7,763",2016
21,Therapeutic appliances and equipment,334,Computer and electronic products,"3,129",27,"1,302","2,832","7,290",2016
21,Therapeutic appliances and equipment,335,"Electrical equipment, appliances, and components",75,4,24,95,198,2016
21,Therapeutic appliances and equipment,339,Miscellaneous manufacturing,"18,594",162,"6,310","19,280","44,346",2016
21,Therapeutic appliances and equipment,621,Ambulatory health care services,"11,812",0,0,0,"11,812",2016
21,Therapeutic appliances and equipment,Used,"Scrap, used and secondhand goods",0,1,0,1,3,2016
22,Educational books,511,"Publishing industries, except internet (includes software)","4,831",190,723,"2,324","8,068",2016
22,Educational books,514,"Data processing, internet publishing, and other information services","1,686",0,0,0,"1,686",2016
22,Educational books,Used,"Scrap, used and secondhand goods",-2,218,30,98,344,2016
23,Luggage and similar personal items ,321,Wood products,157,6,87,224,474,2016
23,Luggage and similar personal items ,339,Miscellaneous manufacturing,"1,117",149,554,"1,292","3,112",2016
23,Luggage and similar personal items ,315AL,Apparel and leather and allied products,"11,227",446,"3,610","9,850","25,134",2016
24,Telephone and facsimile equipment ,334,Computer and electronic products,"13,711",115,"6,852","7,672","28,350",2016
27,Food and nonalcoholic beverages purchased for off-premises consumption ,111CA,Farms,"53,041","6,995","13,271","23,215","96,522",2016
27,Food and nonalcoholic beverages purchased for off-premises consumption ,113FF,"Forestry, fishing, and related activities","3,472",397,274,"1,307","5,450",2016
27,Food and nonalcoholic beverages purchased for off-premises consumption ,212,"Mining, except oil and gas",21,7,1,9,38,2016
27,Food and nonalcoholic beverages purchased for off-premises consumption ,311FT,Food and beverage and tobacco products,"437,058","8,866","65,410","197,464","708,798",2016
27,Food and nonalcoholic beverages purchased for off-premises consumption ,325,Chemical products,544,19,51,246,859,2016
27,Food and nonalcoholic beverages purchased for off-premises consumption ,Used,"Scrap, used and secondhand goods","-1,988",0,0,0,"-1,988",2016
28,Alcoholic beverages purchased for off-premises consumption,311FT,Food and beverage and tobacco products,"63,509","1,622","32,464","32,862","130,457",2016
29,Food produced and consumed on farms ,111CA,Farms,498,0,0,0,498,2016
32,Womens and girls clothing ,339,Miscellaneous manufacturing,30,2,12,48,92,2016
32,Womens and girls clothing ,313TT,Textile mills and textile product mills,418,17,230,676,"1,340",2016
32,Womens and girls clothing ,315AL,Apparel and leather and allied products,"57,202","2,308","21,597","92,634","173,741",2016
32,Womens and girls clothing ,Used,"Scrap, used and secondhand goods",-438,0,0,0,-438,2016
33,Mens and boys clothing ,339,Miscellaneous manufacturing,25,1,10,25,61,2016
33,Mens and boys clothing ,313TT,Textile mills and textile product mills,17,1,9,17,44,2016
33,Mens and boys clothing ,315AL,Apparel and leather and allied products,"40,385","1,645","16,858","40,205","99,093",2016
33,Mens and boys clothing ,Used,"Scrap, used and secondhand goods",-240,209,81,192,242,2016
34,Childrens and infants clothing ,313TT,Textile mills and textile product mills,150,6,83,275,514,2016
34,Childrens and infants clothing ,315AL,Apparel and leather and allied products,"3,083",122,"1,158","4,992","9,356",2016
34,Childrens and infants clothing ,322,Paper products,"2,729",113,324,"4,982","8,148",2016
34,Childrens and infants clothing ,Used,"Scrap, used and secondhand goods",-18,50,17,75,125,2016
35,Other clothing materials and footwear ,339,Miscellaneous manufacturing,101,13,26,186,327,2016
35,Other clothing materials and footwear ,313TT,Textile mills and textile product mills,"1,170",47,213,"2,145","3,575",2016
35,Other clothing materials and footwear ,315AL,Apparel and leather and allied products,"31,491","1,254","12,200","34,558","79,503",2016
35,Other clothing materials and footwear ,Used,"Scrap, used and secondhand goods",-18,0,0,0,-18,2016
37,"Motor vehicle fuels, lubricants, and fluids ",324,Petroleum and coal products,"129,539","7,633","56,880","65,085","259,136",2016
37,"Motor vehicle fuels, lubricants, and fluids ",325,Chemical products,10,0,1,7,18,2016
38,Fuel oil and other fuels ,212,"Mining, except oil and gas",11,5,1,7,24,2016
38,Fuel oil and other fuels ,321,Wood products,290,18,77,193,578,2016
38,Fuel oil and other fuels ,324,Petroleum and coal products,"7,778",490,"3,091","4,077","15,436",2016
38,Fuel oil and other fuels ,325,Chemical products,280,11,26,187,504,2016
40,Pharmaceutical and other medical products ,339,Miscellaneous manufacturing,"1,446",13,601,"2,580","4,640",2016
