"PCE Bridge Table, 2005",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","193,106","3,957","10,613","41,219","248,894",2005
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","69,935","3,055","1,757","35,704","110,451",2005
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,28,3,2,26,60,2005
7,Motor vehicles parts and accessories ,331,Primary metals,4,0,0,4,9,2005
7,Motor vehicles parts and accessories ,332,Fabricated metal products,75,2,9,68,154,2005
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,1,2005
7,Motor vehicles parts and accessories ,334,Computer and electronic products,4,0,1,4,9,2005
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,409",18,153,"1,280","2,860",2005
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","12,124",185,"1,067","11,018","24,394",2005
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,222,35,44,202,503,2005
7,Motor vehicles parts and accessories ,325,Chemical products,363,7,24,159,554,2005
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"10,191",206,"1,256","9,244","20,897",2005
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods","-1,018",20,658,"1,509","1,169",2005
9,Furniture and furnishings ,321,Wood products,"1,750",93,204,"1,730","3,777",2005
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,225",297,533,933,"3,988",2005
9,Furniture and furnishings ,331,Primary metals,47,1,5,104,157,2005
9,Furniture and furnishings ,332,Fabricated metal products,249,5,63,556,873,2005
9,Furniture and furnishings ,334,Computer and electronic products,926,15,156,916,"2,013",2005
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","2,217",347,514,"2,207","5,286",2005
9,Furniture and furnishings ,337,Furniture and related products,"43,916","6,850","3,808","39,728","94,301",2005
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"5,214",780,"1,229","3,882","11,105",2005
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"12,411",450,"4,129","10,985","27,976",2005
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,32,1,10,32,76,2005
9,Furniture and furnishings ,323,Printing and related support activities,34,1,3,34,73,2005
9,Furniture and furnishings ,326,Plastics and rubber products,337,6,68,231,642,2005
