"PCE Bridge Table, 2004",,,,,,,,,
[Millions of dollars],,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,
,,,,Producers' Value,Transportation Costs,            Trade Margins,,Purchasers' Value,
NIPA Line,PCE Category,Commodity Code,Commodity Description,,,Wholesale,Retail,,Year
5,New motor vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","195,333","3,699","9,008","44,390","252,431",2004
6,Net purchases of used motor vehicles ,Used,"Scrap, used and secondhand goods","66,573","4,602","1,527","37,055","109,757",2004
7,Motor vehicles parts and accessories ,327,Nonmetallic mineral products,33,3,3,30,69,2004
7,Motor vehicles parts and accessories ,331,Primary metals,3,0,0,3,7,2004
7,Motor vehicles parts and accessories ,332,Fabricated metal products,50,1,6,46,103,2004
7,Motor vehicles parts and accessories ,333,Machinery,0,0,0,0,0,2004
7,Motor vehicles parts and accessories ,334,Computer and electronic products,4,0,1,3,8,2004
7,Motor vehicles parts and accessories ,335,"Electrical equipment, appliances, and components","1,404",16,154,"1,300","2,874",2004
7,Motor vehicles parts and accessories ,3361MV,"Motor vehicles, bodies and trailers, and parts","11,176",162,980,"10,349","22,667",2004
7,Motor vehicles parts and accessories ,339,Miscellaneous manufacturing,259,38,53,240,590,2004
7,Motor vehicles parts and accessories ,325,Chemical products,278,6,20,116,419,2004
7,Motor vehicles parts and accessories ,326,Plastics and rubber products,"9,384",185,"1,162","8,590","19,320",2004
7,Motor vehicles parts and accessories ,Used,"Scrap, used and secondhand goods","-1,249",21,591,"1,704","1,067",2004
9,Furniture and furnishings ,321,Wood products,"1,307",67,148,"1,343","2,865",2004
9,Furniture and furnishings ,327,Nonmetallic mineral products,"2,133",275,539,900,"3,847",2004
9,Furniture and furnishings ,331,Primary metals,47,1,5,97,151,2004
9,Furniture and furnishings ,332,Fabricated metal products,379,8,90,777,"1,254",2004
9,Furniture and furnishings ,334,Computer and electronic products,881,13,158,907,"1,959",2004
9,Furniture and furnishings ,335,"Electrical equipment, appliances, and components","1,956",289,457,"2,027","4,729",2004
9,Furniture and furnishings ,337,Furniture and related products,"40,966","6,031","3,019","38,285","88,301",2004
9,Furniture and furnishings ,339,Miscellaneous manufacturing,"4,511",646,"1,008","3,658","9,822",2004
9,Furniture and furnishings ,313TT,Textile mills and textile product mills,"10,625",382,"3,693","10,177","24,877",2004
9,Furniture and furnishings ,315AL,Apparel and leather and allied products,58,2,18,60,138,2004
9,Furniture and furnishings ,323,Printing and related support activities,36,1,3,37,77,2004
9,Furniture and furnishings ,326,Plastics and rubber products,447,8,90,326,871,2004
9,Furniture and furnishings ,532RL,Rental and leasing services and lessors of intangible assets,"2,361",0,0,0,"2,361",2004
9,Furniture and furnishings ,Used,"Scrap, used and secondhand goods",812,"3,424",818,"2,618","7,672",2004
10,Household appliances ,331,Primary metals,22,0,2,13,38,2004
10,Household appliances ,333,Machinery,"2,760",59,822,"1,713","5,354",2004
10,Household appliances ,335,"Electrical equipment, appliances, and components","19,472","1,111","2,893","12,616","36,093",2004
10,Household appliances ,326,Plastics and rubber products,77,1,22,162,262,2004
10,Household appliances ,Used,"Scrap, used and secondhand goods",-64,274,20,103,333,2004
11,"Glassware, tableware and household utensils ",321,Wood products,"1,059",53,120,362,"1,593",2004
11,"Glassware, tableware and household utensils ",327,Nonmetallic mineral products,"5,776",704,"1,876","3,227","11,583",2004
11,"Glassware, tableware and household utensils ",331,Primary metals,509,11,51,174,744,2004
11,"Glassware, tableware and household utensils ",332,Fabricated metal products,"6,569",140,"1,465","2,271","10,445",2004
11,"Glassware, tableware and household utensils ",339,Miscellaneous manufacturing,788,10,181,269,"1,247",2004
11,"Glassware, tableware and household utensils ",326,Plastics and rubber products,"10,841",203,"1,146","3,705","15,896",2004
11,"Glassware, tableware and household utensils ",Used,"Scrap, used and secondhand goods",433,536,212,458,"1,639",2004
12,Tools and equipment for house and garden ,321,Wood products,14,1,1,29,46,2004
12,Tools and equipment for house and garden ,327,Nonmetallic mineral products,452,87,44,188,770,2004
12,Tools and equipment for house and garden ,331,Primary metals,18,0,2,36,56,2004
12,Tools and equipment for house and garden ,332,Fabricated metal products,"1,161",25,352,"2,375","3,913",2004
12,Tools and equipment for house and garden ,333,Machinery,"1,741",37,376,"3,571","5,725",2004
12,Tools and equipment for house and garden ,334,Computer and electronic products,24,1,2,50,76,2004
12,Tools and equipment for house and garden ,335,"Electrical equipment, appliances, and components",121,1,28,248,398,2004
12,Tools and equipment for house and garden ,337,Furniture and related products,110,17,39,333,499,2004
12,Tools and equipment for house and garden ,339,Miscellaneous manufacturing,263,39,91,553,945,2004
12,Tools and equipment for house and garden ,313TT,Textile mills and textile product mills,18,1,4,55,78,2004
12,Tools and equipment for house and garden ,325,Chemical products,"1,251",27,132,590,"2,001",2004
12,Tools and equipment for house and garden ,326,Plastics and rubber products,91,2,13,277,383,2004
12,Tools and equipment for house and garden ,532RL,Rental and leasing services and lessors of intangible assets,"4,997",0,0,0,"4,997",2004
12,Tools and equipment for house and garden ,Used,"Scrap, used and secondhand goods",89,75,31,77,272,2004
14,"Video, audio, photographic, and information processing equipment and media ",333,Machinery,"2,831",60,"1,381","1,346","5,618",2004
14,"Video, audio, photographic, and information processing equipment and media ",334,Computer and electronic products,"61,847",737,"9,518","21,687","93,789",2004
14,"Video, audio, photographic, and information processing equipment and media ",335,"Electrical equipment, appliances, and components","2,417",28,567,834,"3,846",2004
14,"Video, audio, photographic, and information processing equipment and media ",339,Miscellaneous manufacturing,0,0,0,0,0,2004
14,"Video, audio, photographic, and information processing equipment and media ",315AL,Apparel and leather and allied products,27,1,6,23,57,2004
14,"Video, audio, photographic, and information processing equipment and media ",511,"Publishing industries, except internet (includes software)","16,444",150,"2,093","4,762","23,449",2004
14,"Video, audio, photographic, and information processing equipment and media ",512,Motion picture and sound recording industries,"22,652",260,"4,665","3,965","31,541",2004
14,"Video, audio, photographic, and information processing equipment and media ",514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2004
14,"Video, audio, photographic, and information processing equipment and media ",Used,"Scrap, used and secondhand goods",0,269,30,67,365,2004
15,"Sporting equipment, supplies, guns, and ammunition ",331,Primary metals,9,0,1,7,17,2004
15,"Sporting equipment, supplies, guns, and ammunition ",332,Fabricated metal products,"2,598",57,900,"1,756","5,311",2004
15,"Sporting equipment, supplies, guns, and ammunition ",3364OT,Other transportation equipment,"5,055",58,132,"1,411","6,656",2004
15,"Sporting equipment, supplies, guns, and ammunition ",339,Miscellaneous manufacturing,"13,586","1,978","4,872","9,800","30,236",2004
15,"Sporting equipment, supplies, guns, and ammunition ",313TT,Textile mills and textile product mills,"1,654",67,498,"1,147","3,367",2004
15,"Sporting equipment, supplies, guns, and ammunition ",315AL,Apparel and leather and allied products,155,5,48,108,317,2004
15,"Sporting equipment, supplies, guns, and ammunition ",325,Chemical products,969,22,121,672,"1,785",2004
15,"Sporting equipment, supplies, guns, and ammunition ",Used,"Scrap, used and secondhand goods",-1,234,42,79,353,2004
16,Sports and recreational vehicles ,332,Fabricated metal products,14,0,4,6,24,2004
16,Sports and recreational vehicles ,333,Machinery,257,5,36,104,402,2004
16,Sports and recreational vehicles ,335,"Electrical equipment, appliances, and components",4,0,0,2,7,2004
16,Sports and recreational vehicles ,3361MV,"Motor vehicles, bodies and trailers, and parts","10,713",142,279,"3,488","14,622",2004
16,Sports and recreational vehicles ,3364OT,Other transportation equipment,"17,303",202,"1,399","6,619","25,524",2004
16,Sports and recreational vehicles ,326,Plastics and rubber products,663,13,83,585,"1,343",2004
16,Sports and recreational vehicles ,Used,"Scrap, used and secondhand goods",54,"2,805",411,749,"4,018",2004
17,Recreational books ,323,Printing and related support activities,224,8,19,87,338,2004
17,Recreational books ,511,"Publishing industries, except internet (includes software)","17,416",605,"1,835","6,674","26,530",2004
17,Recreational books ,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2004
18,Musical instruments,339,Miscellaneous manufacturing,"2,095",310,432,"2,104","4,941",2004
18,Musical instruments,315AL,Apparel and leather and allied products,112,4,23,112,251,2004
18,Musical instruments,Used,"Scrap, used and secondhand goods",17,48,9,60,134,2004
20,Jewelry and watches ,334,Computer and electronic products,"3,312",40,761,"2,711","6,824",2004
20,Jewelry and watches ,339,Miscellaneous manufacturing,"23,487",284,"5,384","19,281","48,436",2004
20,Jewelry and watches ,Used,"Scrap, used and secondhand goods",-276,699,220,669,"1,312",2004
21,Therapeutic appliances and equipment,334,Computer and electronic products,"1,644",19,443,"1,492","3,599",2004
21,Therapeutic appliances and equipment,335,"Electrical equipment, appliances, and components",594,8,138,542,"1,282",2004
21,Therapeutic appliances and equipment,339,Miscellaneous manufacturing,"12,566",145,"3,100","11,983","27,794",2004
21,Therapeutic appliances and equipment,621,Ambulatory health care services,"7,062",0,0,0,"7,062",2004
21,Therapeutic appliances and equipment,Used,"Scrap, used and secondhand goods",1,2,1,2,6,2004
22,Educational books,511,"Publishing industries, except internet (includes software)","6,273",216,686,"2,404","9,579",2004
22,Educational books,514,"Data processing, internet publishing, and other information services",0,0,0,0,0,2004
22,Educational books,Used,"Scrap, used and secondhand goods",-1,199,22,78,298,2004
23,Luggage and similar personal items ,321,Wood products,292,10,90,300,692,2004
23,Luggage and similar personal items ,339,Miscellaneous manufacturing,"1,569",234,564,541,"2,909",2004
23,Luggage and similar personal items ,315AL,Apparel and leather and allied products,"6,828",237,"1,526","5,087","13,678",2004
24,Telephone and facsimile equipment ,334,Computer and electronic products,"3,032",35,573,"4,999","8,640",2004
27,Food and nonalcoholic beverages purchased for off-premises consumption ,111CA,Farms,"34,425","3,097","8,720","15,719","61,962",2004
27,Food and nonalcoholic beverages purchased for off-premises consumption ,113FF,"Forestry, fishing, and related activities","2,420",190,173,922,"3,705",2004
27,Food and nonalcoholic beverages purchased for off-premises consumption ,212,"Mining, except oil and gas",46,12,2,21,81,2004
27,Food and nonalcoholic beverages purchased for off-premises consumption ,311FT,Food and beverage and tobacco products,"297,392","5,006","38,301","137,613","478,312",2004
27,Food and nonalcoholic beverages purchased for off-premises consumption ,325,Chemical products,452,12,32,209,705,2004
27,Food and nonalcoholic beverages purchased for off-premises consumption ,Used,"Scrap, used and secondhand goods","-1,769",0,0,0,"-1,769",2004
28,Alcoholic beverages purchased for off-premises consumption,311FT,Food and beverage and tobacco products,"43,383",920,"25,358","19,609","89,269",2004
29,Food produced and consumed on farms ,111CA,Farms,340,0,0,0,340,2004
32,Womens and girls clothing ,339,Miscellaneous manufacturing,121,17,43,150,332,2004
32,Womens and girls clothing ,313TT,Textile mills and textile product mills,463,16,116,571,"1,166",2004
32,Womens and girls clothing ,315AL,Apparel and leather and allied products,"56,330","1,970","12,561","69,517","140,378",2004
32,Womens and girls clothing ,Used,"Scrap, used and secondhand goods",-221,"1,201",133,738,"1,851",2004
33,Mens and boys clothing ,339,Miscellaneous manufacturing,139,20,50,118,327,2004
33,Mens and boys clothing ,313TT,Textile mills and textile product mills,623,22,193,531,"1,369",2004
33,Mens and boys clothing ,315AL,Apparel and leather and allied products,"38,065","1,317","10,805","32,420","82,606",2004
33,Mens and boys clothing ,Used,"Scrap, used and secondhand goods",-133,155,47,137,205,2004
34,Childrens and infants clothing ,313TT,Textile mills and textile product mills,570,20,177,701,"1,468",2004
34,Childrens and infants clothing ,315AL,Apparel and leather and allied products,"2,702",93,593,"3,298","6,687",2004
34,Childrens and infants clothing ,322,Paper products,"2,303",82,195,"2,834","5,413",2004
34,Childrens and infants clothing ,Used,"Scrap, used and secondhand goods",-16,218,48,267,517,2004
35,Other clothing materials and footwear ,339,Miscellaneous manufacturing,282,24,18,176,501,2004
35,Other clothing materials and footwear ,313TT,Textile mills and textile product mills,"1,755",58,186,"1,799","3,798",2004
35,Other clothing materials and footwear ,315AL,Apparel and leather and allied products,"19,058",665,"7,055","23,651","50,428",2004
35,Other clothing materials and footwear ,511,"Publishing industries, except internet (includes software)",36,1,3,39,79,2004
35,Other clothing materials and footwear ,Used,"Scrap, used and secondhand goods",29,74,34,116,254,2004
